Year,Scenario,Nationality,EB_Category,Count
2024,Capped,India,Overall,3543
2024,Capped,China,Overall,392
2024,Capped,ROW,Overall,1332
2024,Capped,Overall,EB-3,1876
2024,Capped,Overall,EB-2,1853
2024,Capped,Overall,EB-4,1383
2024,Capped,Overall,EB-5,155
2025,Capped,India,Overall,4693
2025,Capped,China,Overall,528
2025,Capped,ROW,Overall,1526
2025,Capped,Overall,EB-3,2350
2025,Capped,Overall,EB-2,2605
2025,Capped,Overall,EB-4,1574
2025,Capped,Overall,EB-5,216
2025,Capped,Overall,EB-1,2
2026,Capped,India,Overall,5352
2026,Capped,China,Overall,540
2026,Capped,ROW,Overall,1689
2026,Capped,Overall,EB-3,2429
2026,Capped,Overall,EB-2,3216
2026,Capped,Overall,EB-4,1765
2026,Capped,Overall,EB-5,161
2026,Capped,Overall,EB-1,10
2027,Capped,India,Overall,6631
2027,Capped,China,Overall,573
2027,Capped,ROW,Overall,2019
2027,Capped,Overall,EB-3,2893
2027,Capped,Overall,EB-2,4141
2027,Capped,Overall,EB-4,2066
2027,Capped,Overall,EB-5,110
2027,Capped,Overall,EB-1,13
2028,Capped,India,Overall,7984
2028,Capped,China,Overall,559
2028,Capped,ROW,Overall,2280
2028,Capped,Overall,EB-3,3453
2028,Capped,Overall,EB-2,5015
2028,Capped,Overall,EB-4,2301
2028,Capped,Overall,EB-5,45
2028,Capped,Overall,EB-1,9
2029,Capped,India,Overall,9332
2029,Capped,China,Overall,606
2029,Capped,ROW,Overall,2394
2029,Capped,Overall,EB-3,3840
2029,Capped,Overall,EB-2,6073
2029,Capped,Overall,EB-4,2374
2029,Capped,Overall,EB-1,32
2029,Capped,Overall,EB-5,13
2030,Capped,India,Overall,10993
2030,Capped,China,Overall,667
2030,Capped,ROW,Overall,2596
2030,Capped,Overall,EB-3,4178
2030,Capped,Overall,EB-2,7419
2030,Capped,Overall,EB-4,2583
2030,Capped,Overall,EB-5,26
2030,Capped,Overall,EB-1,50
2031,Capped,India,Overall,11155
2031,Capped,China,Overall,865
2031,Capped,ROW,Overall,2920
2031,Capped,Overall,EB-3,3390
2031,Capped,Overall,EB-2,8593
2031,Capped,Overall,EB-4,2888
2031,Capped,Overall,EB-1,56
2031,Capped,Overall,EB-5,13
2032,Capped,India,Overall,12565
2032,Capped,China,Overall,1048
2032,Capped,ROW,Overall,3242
2032,Capped,Overall,EB-3,3540
2032,Capped,Overall,EB-2,10066
2032,Capped,Overall,EB-4,3159
2032,Capped,Overall,EB-5,26
2032,Capped,Overall,EB-1,64
2033,Capped,India,Overall,14027
2033,Capped,China,Overall,1113
2033,Capped,ROW,Overall,3597
2033,Capped,Overall,EB-3,3830
2033,Capped,Overall,EB-2,11331
2033,Capped,Overall,EB-4,3434
2033,Capped,Overall,EB-1,105
2033,Capped,Overall,EB-5,37
2034,Capped,India,Overall,15569
2034,Capped,China,Overall,1357
2034,Capped,ROW,Overall,3953
2034,Capped,Overall,EB-3,4344
2034,Capped,Overall,EB-2,12742
2034,Capped,Overall,EB-4,3613
2034,Capped,Overall,EB-1,148
2034,Capped,Overall,EB-5,32
2035,Capped,India,Overall,17767
2035,Capped,China,Overall,1447
2035,Capped,ROW,Overall,4181
2035,Capped,Overall,EB-2,14299
2035,Capped,Overall,EB-3,5064
2035,Capped,Overall,EB-4,3799
2035,Capped,Overall,EB-1,189
2035,Capped,Overall,EB-5,44
2036,Capped,India,Overall,19112
2036,Capped,China,Overall,1536
2036,Capped,ROW,Overall,4370
2036,Capped,Overall,EB-2,15351
2036,Capped,Overall,EB-3,5407
2036,Capped,Overall,EB-4,3932
2036,Capped,Overall,EB-1,272
2036,Capped,Overall,EB-5,56
2037,Capped,India,Overall,19727
2037,Capped,China,Overall,1698
2037,Capped,ROW,Overall,4475
2037,Capped,Overall,EB-2,15505
2037,Capped,Overall,EB-3,6024
2037,Capped,Overall,EB-4,4023
2037,Capped,Overall,EB-1,286
2037,Capped,Overall,EB-5,62
2038,Capped,India,Overall,19503
2038,Capped,China,Overall,1960
2038,Capped,ROW,Overall,4852
2038,Capped,Overall,EB-2,15349
2038,Capped,Overall,EB-3,6301
2038,Capped,Overall,EB-4,4208
2038,Capped,Overall,EB-1,391
2038,Capped,Overall,EB-5,66
2039,Capped,India,Overall,20089
2039,Capped,China,Overall,2181
2039,Capped,ROW,Overall,5040
2039,Capped,Overall,EB-2,15673
2039,Capped,Overall,EB-3,6831
2039,Capped,Overall,EB-4,4230
2039,Capped,Overall,EB-1,503
2039,Capped,Overall,EB-5,73
2040,Capped,India,Overall,20352
2040,Capped,China,Overall,2289
2040,Capped,ROW,Overall,5307
2040,Capped,Overall,EB-2,15547
2040,Capped,Overall,EB-3,7272
2040,Capped,Overall,EB-4,4445
2040,Capped,Overall,EB-1,583
2040,Capped,Overall,EB-5,101
