Year,Scenario,Nationality,EB_Category,Count
2022,Capped,Overall,EB-5,4
2023,Capped,India,Overall,2111
2023,Capped,China,Overall,131
2023,Capped,ROW,Overall,996
2023,Capped,Overall,EB-3,1252
2023,Capped,Overall,EB-2,943
2023,Capped,Overall,EB-4,1043
2024,Capped,India,Overall,2520
2024,Capped,China,Overall,258
2024,Capped,ROW,Overall,1309
2024,Capped,Overall,EB-3,1365
2024,Capped,Overall,EB-2,1322
2024,Capped,Overall,EB-4,1342
2024,Capped,Overall,EB-5,58
2025,Capped,India,Overall,3447
2025,Capped,ROW,Overall,1529
2025,Capped,China,Overall,274
2025,Capped,Overall,EB-3,1804
2025,Capped,Overall,EB-2,1843
2025,Capped,Overall,EB-4,1573
2025,Capped,Overall,EB-5,30
2026,Capped,India,Overall,3895
2026,Capped,China,Overall,301
2026,Capped,ROW,Overall,1696
2026,Capped,Overall,EB-3,1790
2026,Capped,Overall,EB-2,2341
2026,Capped,Overall,EB-4,1758
2026,Capped,Overall,EB-1,3
2027,Capped,India,Overall,4923
2027,Capped,ROW,Overall,1972
2027,Capped,China,Overall,352
2027,Capped,Overall,EB-3,2122
2027,Capped,Overall,EB-2,3091
2027,Capped,Overall,EB-4,2028
2027,Capped,Overall,EB-1,6
2028,Capped,India,Overall,5718
2028,Capped,China,Overall,407
2028,Capped,ROW,Overall,2172
2028,Capped,Overall,EB-3,2493
2028,Capped,Overall,EB-2,3602
2028,Capped,Overall,EB-4,2199
2028,Capped,Overall,EB-1,3
2029,Capped,India,Overall,6753
2029,Capped,China,Overall,457
2029,Capped,ROW,Overall,2406
2029,Capped,Overall,EB-3,2737
2029,Capped,Overall,EB-2,4448
2029,Capped,Overall,EB-4,2416
2029,Capped,Overall,EB-1,15
2030,Capped,India,Overall,7832
2030,Capped,China,Overall,482
2030,Capped,ROW,Overall,2531
2030,Capped,Overall,EB-3,2934
2030,Capped,Overall,EB-2,5358
2030,Capped,Overall,EB-4,2531
2030,Capped,Overall,EB-1,22
2031,Capped,India,Overall,8326
2031,Capped,ROW,Overall,2823
2031,Capped,China,Overall,672
2031,Capped,Overall,EB-3,2729
2031,Capped,Overall,EB-2,6269
2031,Capped,Overall,EB-4,2798
2031,Capped,Overall,EB-1,25
2032,Capped,India,Overall,9396
2032,Capped,China,Overall,778
2032,Capped,ROW,Overall,3217
2032,Capped,Overall,EB-3,2837
2032,Capped,Overall,EB-2,7313
2032,Capped,Overall,EB-4,3201
2032,Capped,Overall,EB-1,40
2033,Capped,India,Overall,10382
2033,Capped,China,Overall,808
2033,Capped,ROW,Overall,3538
2033,Capped,Overall,EB-3,3022
2033,Capped,Overall,EB-2,8216
2033,Capped,Overall,EB-4,3444
2033,Capped,Overall,EB-1,46
2034,Capped,India,Overall,11534
2034,Capped,China,Overall,967
2034,Capped,ROW,Overall,3761
2034,Capped,Overall,EB-3,3439
2034,Capped,Overall,EB-2,9195
2034,Capped,Overall,EB-4,3572
2034,Capped,Overall,EB-1,56
2035,Capped,India,Overall,13188
2035,Capped,China,Overall,982
2035,Capped,ROW,Overall,3865
2035,Capped,Overall,EB-3,4031
2035,Capped,Overall,EB-2,10327
2035,Capped,Overall,EB-4,3615
2035,Capped,Overall,EB-1,62
2036,Capped,India,Overall,14574
2036,Capped,China,Overall,1113
2036,Capped,ROW,Overall,4183
2036,Capped,Overall,EB-2,11457
2036,Capped,Overall,EB-3,4408
2036,Capped,Overall,EB-4,3906
2036,Capped,Overall,EB-1,99
2037,Capped,India,Overall,15239
2037,Capped,China,Overall,1240
2037,Capped,ROW,Overall,4285
2037,Capped,Overall,EB-2,11931
2037,Capped,Overall,EB-3,4758
2037,Capped,Overall,EB-4,3960
2037,Capped,Overall,EB-1,115
2038,Capped,India,Overall,15041
2038,Capped,China,Overall,1364
2038,Capped,ROW,Overall,4525
2038,Capped,Overall,EB-2,11625
2038,Capped,Overall,EB-3,4998
2038,Capped,Overall,EB-4,4143
2038,Capped,Overall,EB-1,164
2039,Capped,India,Overall,15365
2039,Capped,China,Overall,1491
2039,Capped,ROW,Overall,4767
2039,Capped,Overall,EB-2,11703
2039,Capped,Overall,EB-3,5437
2039,Capped,Overall,EB-4,4286
2039,Capped,Overall,EB-1,197
2040,Capped,India,Overall,15485
2040,Capped,China,Overall,1598
2040,Capped,ROW,Overall,4945
2040,Capped,Overall,EB-2,11631
2040,Capped,Overall,EB-3,5712
2040,Capped,Overall,EB-4,4453
2040,Capped,Overall,EB-1,232
