Year,Scenario,Nationality,EB_Category,Count
2021,Uncapped,Overall,EB-3,8796
2021,Uncapped,Overall,EB-2,10094
2021,Uncapped,Overall,EB-4,10249
2021,Uncapped,Overall,EB-5,992
2021,Uncapped,Overall,EB-1,358
2022,Uncapped,India,Overall,13162
2022,Uncapped,China,Overall,4355
2022,Uncapped,ROW,Overall,14486
2022,Uncapped,Overall,EB-3,8948
2022,Uncapped,Overall,EB-2,10446
2022,Uncapped,Overall,EB-4,11468
2022,Uncapped,Overall,EB-5,826
2022,Uncapped,Overall,EB-1,315
2023,Uncapped,ROW,Overall,18243
2023,Uncapped,India,Overall,14886
2023,Uncapped,China,Overall,4757
2023,Uncapped,Overall,EB-2,12257
2023,Uncapped,Overall,EB-3,10393
2023,Uncapped,Overall,EB-4,14114
2023,Uncapped,Overall,EB-5,681
2023,Uncapped,Overall,EB-1,441
2024,Uncapped,India,Overall,16229
2024,Uncapped,China,Overall,5089
2024,Uncapped,ROW,Overall,22256
2024,Uncapped,Overall,EB-3,11671
2024,Uncapped,Overall,EB-2,13520
2024,Uncapped,Overall,EB-4,17133
2024,Uncapped,Overall,EB-5,653
2024,Uncapped,Overall,EB-1,597
2025,Uncapped,India,Overall,15240
2025,Uncapped,China,Overall,5480
2025,Uncapped,ROW,Overall,28265
2025,Uncapped,Overall,EB-3,12327
2025,Uncapped,Overall,EB-2,15138
2025,Uncapped,Overall,EB-4,20181
2025,Uncapped,Overall,EB-5,520
2025,Uncapped,Overall,EB-1,819
2026,Uncapped,India,Overall,14533
2026,Uncapped,China,Overall,5989
2026,Uncapped,ROW,Overall,34251
2026,Uncapped,Overall,EB-2,16735
2026,Uncapped,Overall,EB-3,13119
2026,Uncapped,Overall,EB-4,23288
2026,Uncapped,Overall,EB-5,536
2026,Uncapped,Overall,EB-1,1095
2027,Uncapped,India,Overall,14784
2027,Uncapped,China,Overall,6114
2027,Uncapped,ROW,Overall,39649
2027,Uncapped,Overall,EB-2,18300
2027,Uncapped,Overall,EB-3,14341
2027,Uncapped,Overall,EB-4,26073
2027,Uncapped,Overall,EB-5,565
2027,Uncapped,Overall,EB-1,1268
2028,Uncapped,India,Overall,14947
2028,Uncapped,China,Overall,6376
2028,Uncapped,ROW,Overall,44197
2028,Uncapped,Overall,EB-2,19846
2028,Uncapped,Overall,EB-4,28226
2028,Uncapped,Overall,EB-3,15469
2028,Uncapped,Overall,EB-5,540
2028,Uncapped,Overall,EB-1,1439
2029,Uncapped,India,Overall,15260
2029,Uncapped,China,Overall,6711
2029,Uncapped,ROW,Overall,48667
2029,Uncapped,Overall,EB-2,21353
2029,Uncapped,Overall,EB-4,30412
2029,Uncapped,Overall,EB-3,16801
2029,Uncapped,Overall,EB-5,556
2029,Uncapped,Overall,EB-1,1516
2030,Uncapped,India,Overall,15448
2030,Uncapped,China,Overall,7068
2030,Uncapped,ROW,Overall,52194
2030,Uncapped,Overall,EB-2,22790
2030,Uncapped,Overall,EB-4,31794
2030,Uncapped,Overall,EB-3,17821
2030,Uncapped,Overall,EB-5,567
2030,Uncapped,Overall,EB-1,1738
2031,Uncapped,ROW,Overall,55922
2031,Uncapped,China,Overall,7297
2031,Uncapped,India,Overall,15671
2031,Uncapped,Overall,EB-3,18719
2031,Uncapped,Overall,EB-4,33479
2031,Uncapped,Overall,EB-5,588
2031,Uncapped,Overall,EB-2,24171
2031,Uncapped,Overall,EB-1,1933
2032,Uncapped,ROW,Overall,59753
2032,Uncapped,China,Overall,7664
2032,Uncapped,India,Overall,16149
2032,Uncapped,Overall,EB-3,19480
2032,Uncapped,Overall,EB-4,35637
2032,Uncapped,Overall,EB-5,527
2032,Uncapped,Overall,EB-1,1987
2032,Uncapped,Overall,EB-2,25935
2033,Uncapped,ROW,Overall,61644
2033,Uncapped,China,Overall,7818
2033,Uncapped,India,Overall,17015
2033,Uncapped,Overall,EB-3,20145
2033,Uncapped,Overall,EB-4,36258
2033,Uncapped,Overall,EB-5,569
2033,Uncapped,Overall,EB-1,2171
2033,Uncapped,Overall,EB-2,27334
2034,Uncapped,ROW,Overall,63857
2034,Uncapped,India,Overall,17488
2034,Uncapped,China,Overall,8142
2034,Uncapped,Overall,EB-3,20750
2034,Uncapped,Overall,EB-4,37333
2034,Uncapped,Overall,EB-5,552
2034,Uncapped,Overall,EB-1,2312
2034,Uncapped,Overall,EB-2,28540
2035,Uncapped,India,Overall,18246
2035,Uncapped,China,Overall,8291
2035,Uncapped,ROW,Overall,66605
2035,Uncapped,Overall,EB-2,30616
2035,Uncapped,Overall,EB-4,38347
2035,Uncapped,Overall,EB-3,21156
2035,Uncapped,Overall,EB-1,2448
2035,Uncapped,Overall,EB-5,575
2036,Uncapped,India,Overall,18825
2036,Uncapped,China,Overall,8535
2036,Uncapped,ROW,Overall,68474
2036,Uncapped,Overall,EB-2,31833
2036,Uncapped,Overall,EB-4,39129
2036,Uncapped,Overall,EB-3,21837
2036,Uncapped,Overall,EB-1,2492
2036,Uncapped,Overall,EB-5,543
2037,Uncapped,India,Overall,19486
2037,Uncapped,ROW,Overall,70935
2037,Uncapped,China,Overall,8720
2037,Uncapped,Overall,EB-2,33127
2037,Uncapped,Overall,EB-4,40425
2037,Uncapped,Overall,EB-3,22291
2037,Uncapped,Overall,EB-1,2728
2037,Uncapped,Overall,EB-5,570
2038,Uncapped,ROW,Overall,72793
2038,Uncapped,India,Overall,20410
