Year,Scenario,Nationality,EB_Category,Count
2033,Uncapped,Overall,EB-3,606
2034,Uncapped,India,Overall,2002
2034,Uncapped,China,Overall,445
2034,Uncapped,Other,Overall,3102
2034,Uncapped,Overall,EB-2,3315
2034,Uncapped,Overall,EB-4,1561
2034,Uncapped,Overall,EB-3,673
2035,Uncapped,India,Overall,2179
2035,Uncapped,China,Overall,464
2035,Uncapped,Other,Overall,3658
2035,Uncapped,Overall,EB-2,3797
2035,Uncapped,Overall,EB-4,1645
2035,Uncapped,Overall,EB-3,859
2036,Uncapped,India,Overall,2412
2036,Uncapped,China,Overall,573
2036,Uncapped,Other,Overall,4135
2036,Uncapped,Overall,EB-2,4489
2036,Uncapped,Overall,EB-4,1645
2036,Uncapped,Overall,EB-3,986
2037,Uncapped,China,Overall,653
2037,Uncapped,Other,Overall,4665
2037,Uncapped,India,Overall,2489
2037,Uncapped,Overall,EB-2,4970
2037,Uncapped,Overall,EB-4,1731
2037,Uncapped,Overall,EB-3,1106
2038,Uncapped,India,Overall,2874
2038,Uncapped,Other,Overall,5265
2038,Uncapped,China,Overall,685
2038,Uncapped,Overall,EB-2,5440
2038,Uncapped,Overall,EB-4,2011
2038,Uncapped,Overall,EB-3,1373
2039,Uncapped,Other,Overall,5807
2039,Uncapped,India,Overall,3372
2039,Uncapped,China,Overall,765
2039,Uncapped,Overall,EB-4,2192
2039,Uncapped,Overall,EB-2,6161
2039,Uncapped,Overall,EB-3,1591
2040,Uncapped,India,Overall,3870
2040,Uncapped,Other,Overall,6345
2040,Uncapped,China,Overall,854
2040,Uncapped,Overall,EB-4,2222
2040,Uncapped,Overall,EB-2,7043
2040,Uncapped,Overall,EB-3,1804
2016,Capped,India,Overall,152
2016,Capped,China,Overall,58
2016,Capped,Overall,EB-3,210
2017,Capped,India,Overall,153
2017,Capped,China,Overall,32
2017,Capped,Overall,EB-3,183
2017,Capped,Overall,EB-2,2
2018,Capped,China,Overall,41
2018,Capped,India,Overall,151
2018,Capped,Overall,EB-3,135
2018,Capped,Overall,EB-2,57
2019,Capped,India,Overall,265
2019,Capped,China,Overall,123
2019,Capped,Other,Overall,6
2019,Capped,Overall,EB-3,300
2019,Capped,Overall,EB-2,88
2019,Capped,Overall,EB-4,6
2020,Capped,India,Overall,848
2020,Capped,China,Overall,63
2020,Capped,Other,Overall,14
2020,Capped,Overall,EB-3,753
2020,Capped,Overall,EB-2,156
2020,Capped,Overall,EB-4,16
2021,Capped,India,Overall,724
2021,Capped,China,Overall,63
2021,Capped,Other,Overall,40
2021,Capped,Overall,EB-3,635
