Year,Scenario,Nationality,EB_Category,Count
2027,Capped,Overall,EB-4,1999
2027,Capped,Overall,EB-5,112
2027,Capped,Overall,EB-1,12
2028,Capped,India,Overall,6065
2028,Capped,China,Overall,596
2028,Capped,ROW,Overall,2286
2028,Capped,Overall,EB-3,2421
2028,Capped,Overall,EB-2,4204
2028,Capped,Overall,EB-4,2264
2028,Capped,Overall,EB-5,52
2028,Capped,Overall,EB-1,6
2029,Capped,India,Overall,7255
2029,Capped,China,Overall,600
2029,Capped,ROW,Overall,2354
2029,Capped,Overall,EB-3,2720
2029,Capped,Overall,EB-2,5155
2029,Capped,Overall,EB-4,2293
2029,Capped,Overall,EB-1,28
2029,Capped,Overall,EB-5,13
2030,Capped,India,Overall,8555
2030,Capped,China,Overall,659
2030,Capped,ROW,Overall,2575
2030,Capped,Overall,EB-3,2948
2030,Capped,Overall,EB-2,6255
2030,Capped,Overall,EB-4,2513
2030,Capped,Overall,EB-5,25
2030,Capped,Overall,EB-1,48
2031,Capped,India,Overall,9108
2031,Capped,China,Overall,889
2031,Capped,ROW,Overall,2857
2031,Capped,Overall,EB-3,2809
2031,Capped,Overall,EB-2,7210
2031,Capped,Overall,EB-4,2775
2031,Capped,Overall,EB-1,49
2031,Capped,Overall,EB-5,11
2032,Capped,India,Overall,10273
2032,Capped,China,Overall,1013
2032,Capped,ROW,Overall,3262
2032,Capped,Overall,EB-3,2921
2032,Capped,Overall,EB-2,8433
2032,Capped,Overall,EB-4,3114
2032,Capped,Overall,EB-5,19
2032,Capped,Overall,EB-1,61
2033,Capped,India,Overall,11414
2033,Capped,China,Overall,1103
2033,Capped,ROW,Overall,3591
2033,Capped,Overall,EB-3,3115
2033,Capped,Overall,EB-2,9530
2033,Capped,Overall,EB-4,3343
2033,Capped,Overall,EB-1,93
2033,Capped,Overall,EB-5,27
2034,Capped,India,Overall,12812
2034,Capped,China,Overall,1321
2034,Capped,ROW,Overall,3902
2034,Capped,Overall,EB-3,3641
2034,Capped,Overall,EB-2,10711
2034,Capped,Overall,EB-4,3530
2034,Capped,Overall,EB-1,119
2034,Capped,Overall,EB-5,34
2035,Capped,India,Overall,14414
2035,Capped,China,Overall,1411
2035,Capped,ROW,Overall,4113
2035,Capped,Overall,EB-2,11932
2035,Capped,Overall,EB-3,4181
2035,Capped,Overall,EB-4,3610
2035,Capped,Overall,EB-1,175
2035,Capped,Overall,EB-5,40
2036,Capped,India,Overall,15895
2036,Capped,China,Overall,1510
2036,Capped,ROW,Overall,4315
2036,Capped,Overall,EB-2,13160
2036,Capped,Overall,EB-3,4454
2036,Capped,Overall,EB-4,3810
2036,Capped,Overall,EB-1,248
2036,Capped,Overall,EB-5,48
2037,Capped,India,Overall,16296
2037,Capped,China,Overall,1716
2037,Capped,ROW,Overall,4490
2037,Capped,Overall,EB-2,13346
2037,Capped,Overall,EB-3,4925
2037,Capped,Overall,EB-4,3914
2037,Capped,Overall,EB-1,255
2037,Capped,Overall,EB-5,62
2038,Capped,India,Overall,16218
2038,Capped,China,Overall,1850
2038,Capped,ROW,Overall,4811
2038,Capped,Overall,EB-2,13216
2038,Capped,Overall,EB-3,5158
2038,Capped,Overall,EB-4,4107
2038,Capped,Overall,EB-1,333
2038,Capped,Overall,EB-5,65
2039,Capped,India,Overall,16600
2039,Capped,China,Overall,2139
2039,Capped,ROW,Overall,5022
2039,Capped,Overall,EB-2,13501
2039,Capped,Overall,EB-3,5624
2039,Capped,Overall,EB-4,4142
2039,Capped,Overall,EB-1,426
2039,Capped,Overall,EB-5,68
2040,Capped,India,Overall,16834
2040,Capped,China,Overall,2234
2040,Capped,ROW,Overall,5352
2040,Capped,Overall,EB-2,13397
2040,Capped,Overall,EB-3,6028
2040,Capped,Overall,EB-4,4371
2040,Capped,Overall,EB-1,528
2040,Capped,Overall,EB-5,96
