dimension,group,quantity,policy,value,case,role,seed
category,EB-3,age21_events_2009_2024,Historical,9529.0,catchall_60_65,primary,2019
category,EB-3,principal_exits_2009_2024,Historical,84487.0,catchall_60_65,primary,2019
category,EB-4,age21_events_2009_2024,Historical,7133.0,catchall_60_65,primary,2019
category,EB-4,principal_exits_2009_2024,Historical,81938.0,catchall_60_65,primary,2019
category,EB-5,age21_events_2009_2024,Historical,235.0,catchall_60_65,primary,2019
category,EB-5,principal_exits_2009_2024,Historical,1973.0,catchall_60_65,primary,2019
overall,All,principal_backlog_2024,Historical,1148473.0,catchall_60_65,primary,2019
nationality,India,principal_backlog_2024,Historical,595343.0,catchall_60_65,primary,2019
nationality,China,principal_backlog_2024,Historical,142090.0,catchall_60_65,primary,2019
nationality,ROW,principal_backlog_2024,Historical,411040.0,catchall_60_65,primary,2019
category,EB-1,principal_backlog_2024,Historical,31189.0,catchall_60_65,primary,2019
category,EB-2,principal_backlog_2024,Historical,507680.0,catchall_60_65,primary,2019
category,EB-3,principal_backlog_2024,Historical,288107.0,catchall_60_65,primary,2019
category,EB-4,principal_backlog_2024,Historical,301508.0,catchall_60_65,primary,2019
category,EB-5,principal_backlog_2024,Historical,19989.0,catchall_60_65,primary,2019
joint,EB-1 / India,principal_backlog_2024,Historical,18595.0,catchall_60_65,primary,2019
joint,EB-1 / China,principal_backlog_2024,Historical,12594.0,catchall_60_65,primary,2019
joint,EB-1 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2019
joint,EB-2 / India,principal_backlog_2024,Historical,392801.0,catchall_60_65,primary,2019
joint,EB-2 / China,principal_backlog_2024,Historical,71603.0,catchall_60_65,primary,2019
joint,EB-2 / ROW,principal_backlog_2024,Historical,43276.0,catchall_60_65,primary,2019
joint,EB-3 / India,principal_backlog_2024,Historical,174640.0,catchall_60_65,primary,2019
joint,EB-3 / China,principal_backlog_2024,Historical,40066.0,catchall_60_65,primary,2019
joint,EB-3 / ROW,principal_backlog_2024,Historical,73401.0,catchall_60_65,primary,2019
joint,EB-4 / India,principal_backlog_2024,Historical,7145.0,catchall_60_65,primary,2019
joint,EB-4 / China,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2019
joint,EB-4 / ROW,principal_backlog_2024,Historical,294363.0,catchall_60_65,primary,2019
joint,EB-5 / India,principal_backlog_2024,Historical,2162.0,catchall_60_65,primary,2019
joint,EB-5 / China,principal_backlog_2024,Historical,17827.0,catchall_60_65,primary,2019
joint,EB-5 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2019
overall,All,age21_events_2009_2024,Historical,23295.0,catchall_60_65,primary,2020
overall,All,principal_exits_2009_2024,Historical,239467.0,catchall_60_65,primary,2020
nationality,India,age21_events_2009_2024,Historical,14292.0,catchall_60_65,primary,2020
nationality,India,principal_exits_2009_2024,Historical,95958.0,catchall_60_65,primary,2020
nationality,China,age21_events_2009_2024,Historical,2105.0,catchall_60_65,primary,2020
nationality,China,principal_exits_2009_2024,Historical,32452.0,catchall_60_65,primary,2020
nationality,ROW,age21_events_2009_2024,Historical,6898.0,catchall_60_65,primary,2020
nationality,ROW,principal_exits_2009_2024,Historical,111057.0,catchall_60_65,primary,2020
category,EB-1,age21_events_2009_2024,Historical,2.0,catchall_60_65,primary,2020
category,EB-1,principal_exits_2009_2024,Historical,2344.0,catchall_60_65,primary,2020
category,EB-2,age21_events_2009_2024,Historical,6289.0,catchall_60_65,primary,2020
category,EB-2,principal_exits_2009_2024,Historical,68238.0,catchall_60_65,primary,2020
category,EB-3,age21_events_2009_2024,Historical,9689.0,catchall_60_65,primary,2020
category,EB-3,principal_exits_2009_2024,Historical,84639.0,catchall_60_65,primary,2020
category,EB-4,age21_events_2009_2024,Historical,7075.0,catchall_60_65,primary,2020
category,EB-4,principal_exits_2009_2024,Historical,82290.0,catchall_60_65,primary,2020
category,EB-5,age21_events_2009_2024,Historical,240.0,catchall_60_65,primary,2020
category,EB-5,principal_exits_2009_2024,Historical,1956.0,catchall_60_65,primary,2020
overall,All,principal_backlog_2024,Historical,1147773.0,catchall_60_65,primary,2020
nationality,India,principal_backlog_2024,Historical,593981.0,catchall_60_65,primary,2020
nationality,China,principal_backlog_2024,Historical,142735.0,catchall_60_65,primary,2020
nationality,ROW,principal_backlog_2024,Historical,411057.0,catchall_60_65,primary,2020
category,EB-1,principal_backlog_2024,Historical,31557.0,catchall_60_65,primary,2020
category,EB-2,principal_backlog_2024,Historical,507283.0,catchall_60_65,primary,2020
category,EB-3,principal_backlog_2024,Historical,287591.0,catchall_60_65,primary,2020
category,EB-4,principal_backlog_2024,Historical,301310.0,catchall_60_65,primary,2020
category,EB-5,principal_backlog_2024,Historical,20032.0,catchall_60_65,primary,2020
joint,EB-1 / India,principal_backlog_2024,Historical,18627.0,catchall_60_65,primary,2020
joint,EB-1 / China,principal_backlog_2024,Historical,12930.0,catchall_60_65,primary,2020
joint,EB-1 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2020
joint,EB-2 / India,principal_backlog_2024,Historical,392223.0,catchall_60_65,primary,2020
joint,EB-2 / China,principal_backlog_2024,Historical,71884.0,catchall_60_65,primary,2020
joint,EB-2 / ROW,principal_backlog_2024,Historical,43176.0,catchall_60_65,primary,2020
joint,EB-3 / India,principal_backlog_2024,Historical,173743.0,catchall_60_65,primary,2020
joint,EB-3 / China,principal_backlog_2024,Historical,40139.0,catchall_60_65,primary,2020
joint,EB-3 / ROW,principal_backlog_2024,Historical,73709.0,catchall_60_65,primary,2020
joint,EB-4 / India,principal_backlog_2024,Historical,7138.0,catchall_60_65,primary,2020
joint,EB-4 / China,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2020
joint,EB-4 / ROW,principal_backlog_2024,Historical,294172.0,catchall_60_65,primary,2020
joint,EB-5 / India,principal_backlog_2024,Historical,2250.0,catchall_60_65,primary,2020
joint,EB-5 / China,principal_backlog_2024,Historical,17782.0,catchall_60_65,primary,2020
joint,EB-5 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2020
overall,All,age21_events_2009_2024,Historical,23306.0,catchall_60_65,primary,2021
overall,All,principal_exits_2009_2024,Historical,239666.0,catchall_60_65,primary,2021
nationality,India,age21_events_2009_2024,Historical,14278.0,catchall_60_65,primary,2021
nationality,India,principal_exits_2009_2024,Historical,96147.0,catchall_60_65,primary,2021
nationality,China,age21_events_2009_2024,Historical,2036.0,catchall_60_65,primary,2021
nationality,China,principal_exits_2009_2024,Historical,32473.0,catchall_60_65,primary,2021
nationality,ROW,age21_events_2009_2024,Historical,6992.0,catchall_60_65,primary,2021
nationality,ROW,principal_exits_2009_2024,Historical,111046.0,catchall_60_65,primary,2021
category,EB-1,age21_events_2009_2024,Historical,3.0,catchall_60_65,primary,2021
category,EB-1,principal_exits_2009_2024,Historical,2313.0,catchall_60_65,primary,2021
category,EB-2,age21_events_2009_2024,Historical,6343.0,catchall_60_65,primary,2021
category,EB-2,principal_exits_2009_2024,Historical,68838.0,catchall_60_65,primary,2021
category,EB-3,age21_events_2009_2024,Historical,9604.0,catchall_60_65,primary,2021
category,EB-3,principal_exits_2009_2024,Historical,84660.0,catchall_60_65,primary,2021
category,EB-4,age21_events_2009_2024,Historical,7161.0,catchall_60_65,primary,2021
category,EB-4,principal_exits_2009_2024,Historical,81972.0,catchall_60_65,primary,2021
category,EB-5,age21_events_2009_2024,Historical,195.0,catchall_60_65,primary,2021
category,EB-5,principal_exits_2009_2024,Historical,1883.0,catchall_60_65,primary,2021
overall,All,principal_backlog_2024,Historical,1147437.0,catchall_60_65,primary,2021
nationality,India,principal_backlog_2024,Historical,593861.0,catchall_60_65,primary,2021
nationality,China,principal_backlog_2024,Historical,142556.0,catchall_60_65,primary,2021
nationality,ROW,principal_backlog_2024,Historical,411020.0,catchall_60_65,primary,2021
category,EB-1,principal_backlog_2024,Historical,31249.0,catchall_60_65,primary,2021
category,EB-2,principal_backlog_2024,Historical,506986.0,catchall_60_65,primary,2021
category,EB-3,principal_backlog_2024,Historical,287671.0,catchall_60_65,primary,2021
category,EB-4,principal_backlog_2024,Historical,301447.0,catchall_60_65,primary,2021
category,EB-5,principal_backlog_2024,Historical,20084.0,catchall_60_65,primary,2021
joint,EB-1 / India,principal_backlog_2024,Historical,18620.0,catchall_60_65,primary,2021
joint,EB-1 / China,principal_backlog_2024,Historical,12629.0,catchall_60_65,primary,2021
joint,EB-1 / ROW,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2021
joint,EB-2 / India,principal_backlog_2024,Historical,391734.0,catchall_60_65,primary,2021
joint,EB-2 / China,principal_backlog_2024,Historical,72024.0,catchall_60_65,primary,2021
joint,EB-2 / ROW,principal_backlog_2024,Historical,43228.0,catchall_60_65,primary,2021
joint,EB-3 / India,principal_backlog_2024,Historical,174098.0,catchall_60_65,primary,2021
joint,EB-3 / China,principal_backlog_2024,Historical,40031.0,catchall_60_65,primary,2021
joint,EB-3 / ROW,principal_backlog_2024,Historical,73542.0,catchall_60_65,primary,2021
joint,EB-4 / India,principal_backlog_2024,Historical,7197.0,catchall_60_65,primary,2021
joint,EB-4 / China,principal_backlog_2024,Historical,0.0,catchall_60_65,primary,2021
