dimension,group,quantity,policy,value,case,role,seed
category,EB-4,principal_exits_2025_2040,Capped minus uncapped,-437.0,catchall_60_65,primary,2015
category,EB-4,principal_backlog_2040,Capped,1023093.0,catchall_60_65,primary,2015
category,EB-4,principal_backlog_2040,Uncapped,1020387.0,catchall_60_65,primary,2015
category,EB-4,principal_backlog_2040,Capped minus uncapped,2706.0,catchall_60_65,primary,2015
category,EB-5,age21_events_2025_2040,Capped,1127.0,catchall_60_65,primary,2015
category,EB-5,age21_events_2025_2040,Uncapped,614.0,catchall_60_65,primary,2015
category,EB-5,age21_events_2025_2040,Capped minus uncapped,513.0,catchall_60_65,primary,2015
category,EB-5,principal_exits_2025_2040,Capped,3822.0,catchall_60_65,primary,2015
category,EB-5,principal_exits_2025_2040,Uncapped,3387.0,catchall_60_65,primary,2015
category,EB-5,principal_exits_2025_2040,Capped minus uncapped,435.0,catchall_60_65,primary,2015
category,EB-5,principal_backlog_2040,Capped,26691.0,catchall_60_65,primary,2015
category,EB-5,principal_backlog_2040,Uncapped,26597.0,catchall_60_65,primary,2015
category,EB-5,principal_backlog_2040,Capped minus uncapped,94.0,catchall_60_65,primary,2015
joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1394.0,catchall_60_65,primary,2015
joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,931.0,catchall_60_65,primary,2015
joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,-605.0,catchall_60_65,primary,2015
joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,75972.0,catchall_60_65,primary,2015
joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,462.0,catchall_60_65,primary,2015
joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,-34636.0,catchall_60_65,primary,2015
joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,43563.0,catchall_60_65,primary,2015
joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,2281.0,catchall_60_65,primary,2015
joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,-22718.0,catchall_60_65,primary,2015
joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,-822.0,catchall_60_65,primary,2015
joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,-134.0,catchall_60_65,primary,2015
joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,769.0,catchall_60_65,primary,2015
joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,167.0,catchall_60_65,primary,2015
joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,622.0,catchall_60_65,primary,2015
joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,-276.0,catchall_60_65,primary,2015
overall,All,age21_events_2025_2040,Capped,266067.0,catchall_60_65,primary,2016
overall,All,age21_events_2025_2040,Uncapped,199354.0,catchall_60_65,primary,2016
overall,All,age21_events_2025_2040,Capped minus uncapped,66713.0,catchall_60_65,primary,2016
overall,All,principal_exits_2025_2040,Capped,1093562.0,catchall_60_65,primary,2016
overall,All,principal_exits_2025_2040,Uncapped,1072707.0,catchall_60_65,primary,2016
overall,All,principal_exits_2025_2040,Capped minus uncapped,20855.0,catchall_60_65,primary,2016
overall,All,principal_conversions_2025_2040,Capped,1263216.0,catchall_60_65,primary,2016
overall,All,principal_conversions_2025_2040,Uncapped,1267083.0,catchall_60_65,primary,2016
overall,All,principal_conversions_2025_2040,Capped minus uncapped,-3867.0,catchall_60_65,primary,2016
overall,All,principal_backlog_2040,Capped,2773640.0,catchall_60_65,primary,2016
overall,All,principal_backlog_2040,Uncapped,2790628.0,catchall_60_65,primary,2016
overall,All,principal_backlog_2040,Capped minus uncapped,-16988.0,catchall_60_65,primary,2016
nationality,India,age21_events_2025_2040,Capped,193206.0,catchall_60_65,primary,2016
nationality,India,age21_events_2025_2040,Uncapped,73239.0,catchall_60_65,primary,2016
nationality,India,age21_events_2025_2040,Capped minus uncapped,119967.0,catchall_60_65,primary,2016
nationality,India,principal_exits_2025_2040,Capped,335356.0,catchall_60_65,primary,2016
nationality,India,principal_exits_2025_2040,Uncapped,187473.0,catchall_60_65,primary,2016
nationality,India,principal_exits_2025_2040,Capped minus uncapped,147883.0,catchall_60_65,primary,2016
nationality,India,principal_backlog_2040,Capped,1077404.0,catchall_60_65,primary,2016
nationality,India,principal_backlog_2040,Uncapped,750834.0,catchall_60_65,primary,2016
nationality,India,principal_backlog_2040,Capped minus uncapped,326570.0,catchall_60_65,primary,2016
nationality,China,age21_events_2025_2040,Capped,18529.0,catchall_60_65,primary,2016
nationality,China,age21_events_2025_2040,Uncapped,14564.0,catchall_60_65,primary,2016
nationality,China,age21_events_2025_2040,Capped minus uncapped,3965.0,catchall_60_65,primary,2016
nationality,China,principal_exits_2025_2040,Capped,104389.0,catchall_60_65,primary,2016
nationality,China,principal_exits_2025_2040,Uncapped,95075.0,catchall_60_65,primary,2016
nationality,China,principal_exits_2025_2040,Capped minus uncapped,9314.0,catchall_60_65,primary,2016
nationality,China,principal_backlog_2040,Capped,341193.0,catchall_60_65,primary,2016
nationality,China,principal_backlog_2040,Uncapped,286851.0,catchall_60_65,primary,2016
nationality,China,principal_backlog_2040,Capped minus uncapped,54342.0,catchall_60_65,primary,2016
nationality,ROW,age21_events_2025_2040,Capped,54332.0,catchall_60_65,primary,2016
nationality,ROW,age21_events_2025_2040,Uncapped,111551.0,catchall_60_65,primary,2016
nationality,ROW,age21_events_2025_2040,Capped minus uncapped,-57219.0,catchall_60_65,primary,2016
