year,category,nationality,target_visas,used_visas,unfilled_target,n_paired_seeds
2017,EB-5,ROW,2349.0,2349.0,0.0,1
2018,EB-1,China,6582.0,6582.0,0.0,1
2018,EB-1,India,10967.0,10967.0,0.0,1
2018,EB-1,ROW,21972.0,21972.0,0.0,1
2018,EB-2,China,2681.0,2681.0,0.0,1
2018,EB-2,India,4096.0,4096.0,0.0,1
2018,EB-2,ROW,33864.0,33864.0,0.0,1
2018,EB-3,China,4392.0,4392.0,0.0,1
2018,EB-3,India,6112.0,6112.0,0.0,1
2018,EB-3,ROW,29462.0,29462.0,0.0,1
2018,EB-4,China,158.0,158.0,0.0,1
2018,EB-4,India,764.0,764.0,0.0,1
2018,EB-4,ROW,8831.0,8831.0,0.0,1
2018,EB-5,China,4642.0,4642.0,0.0,1
2018,EB-5,India,585.0,585.0,0.0,1
2018,EB-5,ROW,4375.0,4375.0,0.0,1
2019,EB-1,China,5284.0,5284.0,0.0,1
2019,EB-1,India,9008.0,9008.0,0.0,1
2019,EB-1,ROW,25800.0,25800.0,0.0,1
2019,EB-2,China,3369.0,3369.0,0.0,1
2019,EB-2,India,2908.0,2908.0,0.0,1
2019,EB-2,ROW,33775.0,33775.0,0.0,1
2019,EB-3,China,3682.0,3682.0,0.0,1
2019,EB-3,India,5083.0,5083.0,0.0,1
2019,EB-3,ROW,32111.0,32111.0,0.0,1
2019,EB-4,China,89.0,89.0,0.0,1
2019,EB-4,India,659.0,659.0,0.0,1
2019,EB-4,ROW,9340.0,9340.0,0.0,1
2019,EB-5,China,4327.0,4327.0,0.0,1
2019,EB-5,India,760.0,760.0,0.0,1
2019,EB-5,ROW,4391.0,4391.0,0.0,1
2020,EB-1,China,4766.0,4766.0,0.0,1
2020,EB-1,India,17014.0,17014.0,0.0,1
2020,EB-1,ROW,25423.0,25423.0,0.0,1
2020,EB-2,China,3118.0,3118.0,0.0,1
2020,EB-2,India,2599.0,2599.0,0.0,1
2020,EB-2,ROW,37410.0,37410.0,0.0,1
2020,EB-3,China,3499.0,3499.0,0.0,1
2020,EB-3,India,3194.0,3194.0,0.0,1
2020,EB-3,ROW,36128.0,36128.0,0.0,1
2020,EB-4,China,256.0,256.0,0.0,1
2020,EB-4,India,734.0,734.0,0.0,1
2020,EB-4,ROW,9416.0,9416.0,0.0,1
2020,EB-5,China,1564.0,1564.0,0.0,1
2020,EB-5,India,613.0,613.0,0.0,1
2020,EB-5,ROW,1419.0,1419.0,0.0,1
2021,EB-1,China,9118.0,9118.0,0.0,1
2021,EB-1,India,30825.0,30825.0,0.0,1
2021,EB-1,ROW,21553.0,21553.0,0.0,1
2021,EB-2,China,6091.0,6091.0,0.0,1
2021,EB-2,India,28246.0,28246.0,0.0,1
2021,EB-2,ROW,25404.0,25404.0,0.0,1
2021,EB-3,China,5113.0,5113.0,0.0,1
2021,EB-3,India,14954.0,14954.0,0.0,1
2021,EB-3,ROW,35173.0,35173.0,0.0,1
2021,EB-4,China,182.0,182.0,0.0,1
2021,EB-4,India,569.0,569.0,0.0,1
2021,EB-4,ROW,15330.0,15330.0,0.0,1
2021,EB-5,China,1567.0,1567.0,0.0,1
2021,EB-5,India,211.0,211.0,0.0,1
2021,EB-5,ROW,1171.0,1171.0,0.0,1
2022,EB-1,China,11425.0,11425.0,0.0,1
2022,EB-1,India,21437.0,21437.0,0.0,1
2022,EB-1,ROW,21275.0,21275.0,0.0,1
2022,EB-2,China,8523.0,8523.0,0.0,1
2022,EB-2,India,59431.0,59431.0,0.0,1
2022,EB-2,ROW,41355.0,41355.0,0.0,1
2022,EB-3,China,6452.0,6452.0,0.0,1
2022,EB-3,India,12600.0,12600.0,0.0,1
2022,EB-3,ROW,61946.0,61946.0,0.0,1
2022,EB-4,China,280.0,280.0,0.0,1
2022,EB-4,India,1232.0,1232.0,0.0,1
2022,EB-4,ROW,18409.0,18409.0,0.0,1
2022,EB-5,China,6125.0,6125.0,0.0,1
2022,EB-5,India,1381.0,1381.0,0.0,1
2022,EB-5,ROW,3379.0,3379.0,0.0,1
2023,EB-1,China,7007.0,7007.0,0.0,1
2023,EB-1,India,16604.0,16604.0,0.0,1
2023,EB-1,ROW,33602.0,33602.0,0.0,1
2023,EB-2,China,6371.0,6371.0,0.0,1
2023,EB-2,India,4301.0,4301.0,0.0,1
2023,EB-2,ROW,46245.0,46245.0,0.0,1
2023,EB-3,China,4218.0,4218.0,0.0,1
2023,EB-3,India,4782.0,4782.0,0.0,1
2023,EB-3,ROW,47261.0,47261.0,0.0,1
2023,EB-4,China,141.0,141.0,0.0,1
2023,EB-4,India,709.0,709.0,0.0,1
2023,EB-4,ROW,12870.0,12870.0,0.0,1
2023,EB-5,China,6262.0,6262.0,0.0,1
2023,EB-5,India,815.0,815.0,0.0,1
2023,EB-5,ROW,2740.0,2740.0,0.0,1
2024,EB-1,China,6952.0,6952.0,0.0,1
2024,EB-1,India,8809.0,8809.0,0.0,1
2024,EB-1,ROW,31433.0,31433.0,0.0,1
2024,EB-2,China,6556.0,6556.0,0.0,1
2024,EB-2,India,3916.0,3916.0,0.0,1
2024,EB-2,ROW,35842.0,35842.0,0.0,1
2024,EB-3,China,6141.0,6141.0,0.0,1
2024,EB-3,India,3655.0,3655.0,0.0,1
2024,EB-3,ROW,37494.0,37494.0,0.0,1
2024,EB-4,China,78.0,78.0,0.0,1
2024,EB-4,India,428.0,428.0,0.0,1
2024,EB-4,ROW,11166.0,11166.0,0.0,1
2024,EB-5,China,9547.0,9547.0,0.0,1
2024,EB-5,India,1428.0,1428.0,0.0,1
2024,EB-5,ROW,3949.0,3949.0,0.0,1
