case,year,category,nationality,modeled_visas,n_runs,visas_issued,residual_model_minus_observed
catchall_55_60,2013,EB-3,China,3229.0,1,3229,0.0
catchall_55_60,2013,EB-3,India,3229.0,1,7816,-4587.0
catchall_55_60,2013,EB-3,ROW,39665.0,1,32695,6970.0
catchall_55_60,2013,EB-4,China,17.0,1,78,-61.0
catchall_55_60,2013,EB-4,India,294.0,1,562,-268.0
catchall_55_60,2013,EB-4,ROW,6135.0,1,5806,329.0
catchall_55_60,2013,EB-5,China,7193.0,1,6895,298.0
catchall_55_60,2013,EB-5,India,97.0,1,87,10.0
catchall_55_60,2013,EB-5,ROW,1824.0,1,1582,242.0
catchall_55_60,2014,EB-1,China,7598.0,1,6167,1431.0
catchall_55_60,2014,EB-1,India,15160.0,1,12978,2182.0
catchall_55_60,2014,EB-1,ROW,22988.0,1,21463,1525.0
catchall_55_60,2014,EB-2,China,3030.0,1,3561,-531.0
catchall_55_60,2014,EB-2,India,3030.0,1,23527,-20497.0
catchall_55_60,2014,EB-2,ROW,37229.0,1,21983,15246.0
catchall_55_60,2014,EB-3,China,3030.0,1,3676,-646.0
catchall_55_60,2014,EB-3,India,3030.0,1,3526,-496.0
catchall_55_60,2014,EB-3,ROW,37229.0,1,35497,1732.0
catchall_55_60,2014,EB-4,China,25.0,1,109,-84.0
catchall_55_60,2014,EB-4,India,477.0,1,732,-255.0
catchall_55_60,2014,EB-4,ROW,7787.0,1,7448,339.0
catchall_55_60,2014,EB-5,China,8032.0,1,9128,-1096.0
catchall_55_60,2014,EB-5,India,347.0,1,96,251.0
catchall_55_60,2014,EB-5,ROW,2367.0,1,1468,899.0
catchall_55_60,2015,EB-1,China,5441.0,1,6239,-798.0
catchall_55_60,2015,EB-1,India,8864.0,1,12253,-3389.0
catchall_55_60,2015,EB-1,ROW,26865.0,1,23498,3367.0
catchall_55_60,2015,EB-2,China,2882.0,1,4202,-1320.0
catchall_55_60,2015,EB-2,India,2882.0,1,7235,-4353.0
catchall_55_60,2015,EB-2,ROW,35406.0,1,33042,2364.0
catchall_55_60,2015,EB-3,China,2882.0,1,3211,-329.0
catchall_55_60,2015,EB-3,India,2882.0,1,7026,-4144.0
catchall_55_60,2015,EB-3,ROW,35406.0,1,27213,8193.0
catchall_55_60,2015,EB-4,China,398.0,1,81,317.0
catchall_55_60,2015,EB-4,India,715.0,1,709,6.0
catchall_55_60,2015,EB-4,ROW,9108.0,1,9479,-371.0
catchall_55_60,2015,EB-5,China,4801.0,1,8156,-3355.0
catchall_55_60,2015,EB-5,India,715.0,1,111,604.0
catchall_55_60,2015,EB-5,ROW,4705.0,1,1497,3208.0
catchall_55_60,2016,EB-1,China,5113.0,1,6711,-1598.0
catchall_55_60,2016,EB-1,India,9000.0,1,10985,-1985.0
catchall_55_60,2016,EB-1,ROW,26027.0,1,26027,0.0
catchall_55_60,2016,EB-2,China,2810.0,1,2837,-27.0
catchall_55_60,2016,EB-2,India,2810.0,1,3930,-1120.0
catchall_55_60,2016,EB-2,ROW,34520.0,1,32344,2176.0
catchall_55_60,2016,EB-3,China,2810.0,1,2815,-5.0
catchall_55_60,2016,EB-3,India,2810.0,1,4617,-1807.0
catchall_55_60,2016,EB-3,ROW,34520.0,1,30108,4412.0
catchall_55_60,2016,EB-4,China,247.0,1,107,140.0
catchall_55_60,2016,EB-4,India,698.0,1,720,-22.0
catchall_55_60,2016,EB-4,ROW,9020.0,1,9202,-182.0
catchall_55_60,2016,EB-5,China,4874.0,1,7516,-2642.0
catchall_55_60,2016,EB-5,India,698.0,1,149,549.0
catchall_55_60,2016,EB-5,ROW,4393.0,1,2282,2111.0
catchall_55_60,2017,EB-1,China,6007.0,1,6337,-330.0
catchall_55_60,2017,EB-1,India,11511.0,1,13082,-1571.0
catchall_55_60,2017,EB-1,ROW,22409.0,1,22409,0.0
catchall_55_60,2017,EB-2,China,2795.0,1,2559,236.0
catchall_55_60,2017,EB-2,India,2795.0,1,2879,-84.0
catchall_55_60,2017,EB-2,ROW,34337.0,1,34523,-186.0
catchall_55_60,2017,EB-3,China,2795.0,1,2524,271.0
catchall_55_60,2017,EB-3,India,2795.0,1,6641,-3846.0
catchall_55_60,2017,EB-3,ROW,34336.0,1,28605,5731.0
catchall_55_60,2017,EB-4,China,133.0,1,116,17.0
catchall_55_60,2017,EB-4,India,694.0,1,790,-96.0
catchall_55_60,2017,EB-4,ROW,9085.0,1,9049,36.0
catchall_55_60,2017,EB-5,China,2573.0,1,7567,-4994.0
catchall_55_60,2017,EB-5,India,694.0,1,174,520.0
catchall_55_60,2017,EB-5,ROW,6645.0,1,2349,4296.0
catchall_55_60,2018,EB-1,China,5978.0,1,6582,-604.0
catchall_55_60,2018,EB-1,India,11942.0,1,10967,975.0
catchall_55_60,2018,EB-1,ROW,21972.0,1,21972,0.0
catchall_55_60,2018,EB-2,China,2792.0,1,2681,111.0
catchall_55_60,2018,EB-2,India,2792.0,1,4096,-1304.0
catchall_55_60,2018,EB-2,ROW,34308.0,1,33864,444.0
catchall_55_60,2018,EB-3,China,2792.0,1,4392,-1600.0
catchall_55_60,2018,EB-3,India,2792.0,1,6112,-3320.0
catchall_55_60,2018,EB-3,ROW,34308.0,1,29462,4846.0
catchall_55_60,2018,EB-4,China,119.0,1,158,-39.0
catchall_55_60,2018,EB-4,India,693.0,1,764,-71.0
catchall_55_60,2018,EB-4,ROW,9092.0,1,8831,261.0
