scenario,year,outcome,dimension,group,threshold_age,denominator,count_at_or_above,share_pct,maximum_age,case,role,seed
Uncapped,2040,still_waiting,category,EB-1,60,125129,56,0.04475381406388607,60,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-1,65,125129,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-1,70,125129,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-1,75,125129,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-1,80,125129,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-2,60,1060011,12923,1.2191382919611211,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-2,65,1060011,427,0.04028260084093467,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-2,70,1060011,5,0.00047169321827792354,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-2,75,1060011,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-2,80,1060011,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-3,60,558371,5571,0.9977237356524604,68,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-3,65,558371,134,0.02399838100474416,68,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-3,70,558371,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-3,75,558371,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-3,80,558371,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-4,60,1020775,6770,0.6632215718449217,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-4,65,1020775,336,0.0329161666380936,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-4,70,1020775,8,0.000783718253287943,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-4,75,1020775,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-4,80,1020775,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-5,60,26339,18,0.06833972436311174,61,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-5,65,26339,0,0.0,61,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-5,70,26339,0,0.0,61,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-5,75,26339,0,0.0,61,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,category,EB-5,80,26339,0,0.0,61,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,India,60,749356,4834,0.6450872482504978,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,India,65,749356,125,0.016680990076812622,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,India,70,749356,1,0.00013344792061450097,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,India,75,749356,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,India,80,749356,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,China,60,286790,2614,0.9114683217685414,70,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,China,65,286790,74,0.025802852261236443,70,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,China,70,286790,1,0.0003486871927194114,70,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,China,75,286790,0,0.0,70,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,China,80,286790,0,0.0,70,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,ROW,60,1754479,17890,1.0196759265856132,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,ROW,65,1754479,698,0.0397838902602995,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,ROW,70,1754479,11,0.0006269667519531439,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,ROW,75,1754479,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,still_waiting,nationality,ROW,80,1754479,0,0.0,71,catchall_60_65,primary,2014
Capped,2024,converted,overall,All EB,60,76898,293,0.38102421389372937,65,catchall_60_65,primary,2014
Capped,2024,converted,overall,All EB,65,76898,1,0.0013004239382038544,65,catchall_60_65,primary,2014
Capped,2024,converted,overall,All EB,70,76898,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,overall,All EB,75,76898,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,overall,All EB,80,76898,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-1,60,20353,0,0.0,57,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-1,65,20353,0,0.0,57,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-1,70,20353,0,0.0,57,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-1,75,20353,0,0.0,57,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-1,80,20353,0,0.0,57,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-2,60,21901,20,0.09132003104881056,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-2,65,21901,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-2,70,21901,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-2,75,21901,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-2,80,21901,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-3,60,22970,68,0.29603831084022636,65,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-3,65,22970,1,0.0043535045711798,65,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-3,70,22970,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-3,75,22970,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-3,80,22970,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-4,60,6886,149,2.1638106302643045,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-4,65,6886,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-4,70,6886,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-4,75,6886,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-4,80,6886,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-5,60,4788,56,1.1695906432748537,62,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-5,65,4788,0,0.0,62,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-5,70,4788,0,0.0,62,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-5,75,4788,0,0.0,62,catchall_60_65,primary,2014
Capped,2024,converted,category,EB-5,80,4788,0,0.0,62,catchall_60_65,primary,2014
Capped,2024,converted,nationality,India,60,8834,42,0.4754358161648177,65,catchall_60_65,primary,2014
Capped,2024,converted,nationality,India,65,8834,1,0.011319900384876612,65,catchall_60_65,primary,2014
Capped,2024,converted,nationality,India,70,8834,0,0.0,65,catchall_60_65,primary,2014
