scenario,entry_year,nationality,eb_category,observation_end_year,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
Uncapped,2015,ROW,EB-1,2061,total_created,2,7308.0,186.67619023324855,132.0,,,2,0,0
Uncapped,2015,ROW,EB-2,2061,total_created,2,9974.5,118.08683245815344,83.5,,,2,0,0
Uncapped,2015,ROW,EB-3,2061,total_created,2,4417.5,36.062445840513924,25.499999999999996,,,2,0,0
Uncapped,2015,ROW,EB-4,2061,total_created,2,12959.0,156.97770542341354,110.99999999999999,,,2,0,0
Uncapped,2015,ROW,EB-5,2061,total_created,2,1506.5,16.263455967290593,11.5,,,2,0,0
Uncapped,2016,India,EB-1,2061,total_created,2,4086.5,33.23401871576773,23.499999999999996,,,2,0,0
Uncapped,2016,India,EB-2,2061,total_created,2,22224.0,16.97056274847714,11.999999999999998,,,2,0,0
Uncapped,2016,India,EB-3,2061,total_created,2,4674.5,60.10407640085654,42.5,,,2,0,0
Uncapped,2016,India,EB-4,2061,total_created,2,746.5,70.0035713374682,49.49999999999999,,,2,0,0
Uncapped,2016,India,EB-5,2061,total_created,2,298.0,5.656854249492381,4.0,,,2,0,0
Uncapped,2016,China,EB-1,2061,total_created,2,1391.0,100.40916292848975,71.0,,,2,0,0
Uncapped,2016,China,EB-2,2061,total_created,2,1573.5,50.204581464244875,35.5,,,2,0,0
Uncapped,2016,China,EB-3,2061,total_created,2,1102.0,22.627416997969522,16.0,,,2,0,0
Uncapped,2016,China,EB-4,2061,total_created,2,59.0,14.142135623730951,10.0,,,2,0,0
Uncapped,2016,China,EB-5,2061,total_created,2,2913.5,6.363961030678928,4.5,,,2,0,0
Uncapped,2016,ROW,EB-1,2061,total_created,2,8267.0,165.46298679765212,116.99999999999999,,,2,0,0
Uncapped,2016,ROW,EB-2,2061,total_created,2,12347.0,91.92388155425118,65.0,,,2,0,0
Uncapped,2016,ROW,EB-3,2061,total_created,2,8413.5,211.4249275747777,149.5,,,2,0,0
Uncapped,2016,ROW,EB-4,2061,total_created,2,12053.5,200.11121907579295,141.5,,,2,0,0
Uncapped,2016,ROW,EB-5,2061,total_created,2,1398.5,43.1335136523794,30.499999999999996,,,2,0,0
Uncapped,2017,India,EB-1,2061,total_created,2,4464.5,37.476659402887016,26.499999999999996,,,2,0,0
Uncapped,2017,India,EB-2,2061,total_created,2,19417.0,149.90663761154806,105.99999999999999,,,2,0,0
Uncapped,2017,India,EB-3,2061,total_created,2,4035.5,139.30003589374985,98.49999999999999,,,2,0,0
Uncapped,2017,India,EB-4,2061,total_created,2,456.5,51.61879502661797,36.49999999999999,,,2,0,0
Uncapped,2017,India,EB-5,2061,total_created,2,593.0,49.49747468305833,35.0,,,2,0,0
Uncapped,2017,China,EB-1,2061,total_created,2,1551.0,24.041630560342615,16.999999999999996,,,2,0,0
