case,role,age,median_age,near_zero_age,age_curve_S,conditional_annual_age_exit,age_only_retention_from_35,age_only_retention_from_45
catchall_55_60,sensitivity,84,55,60,3.8302674325439234e-08,0.44505583771160684,3.830296823566341e-08,3.8408775916368425e-08
catchall_55_60,sensitivity,85,55,60,2.125584551693602e-08,0.4450558419218541,2.1256008620699164e-08,2.1314725975431688e-08
catchall_65_70,sensitivity,35,65,70,0.9999999787441545,1.704682905945276e-08,1.0,
catchall_65_70,sensitivity,36,65,70,0.9999999616973257,3.071809773214085e-08,0.9999999829531709,
catchall_65_70,sensitivity,37,65,70,0.9999999309792292,5.535349045793225e-08,0.9999999522350738,
catchall_65_70,sensitivity,38,65,70,0.9999998756257426,9.974604597839942e-08,0.9999998968815859,
catchall_65_70,sensitivity,39,65,70,0.999999775879709,1.7974065968928699e-07,0.9999997971355502,
catchall_65_70,sensitivity,40,65,70,0.9999995961390896,3.2388953086215366e-07,0.999999617394927,
catchall_65_70,sensitivity,41,65,70,0.9999992722496895,5.836431291594835e-07,0.9999992935055201,
catchall_65_70,sensitivity,42,65,70,0.9999986886069852,1.0517139652499452e-06,0.9999987098628033,
catchall_65_70,sensitivity,43,65,70,0.9999976368943991,1.8951672283717969e-06,0.9999976581501949,
catchall_65_70,sensitivity,44,65,70,0.9999957417316493,3.4150477060679307e-06,0.9999957629874048,
catchall_65_70,sensitivity,45,65,70,0.9999923266984854,6.1538204759736814e-06,0.9999923479541682,1.0
catchall_65_70,sensitivity,46,65,70,0.9999861729252295,1.108895769963425e-05,0.9999861941807816,0.999993846179524
catchall_65_70,sensitivity,47,65,70,0.9999750841208577,1.998171539752125e-05,0.9999751053761741,0.9999827572900638
catchall_65_70,sensitivity,48,65,70,0.9999551029033221,3.600541756421105e-05,0.9999551241582137,0.9999627759192051
catchall_65_70,sensitivity,49,65,70,0.9999190991022966,6.487694565182611e-05,0.9999191203564229,0.9999267718419095
catchall_65_70,sensitivity,50,65,70,0.9998542274052479,0.00011689349572985286,0.9998542486579953,0.9998618996470768
catchall_65_70,sensitivity,51,65,70,0.9997373509493862,0.00021059574708726103,0.9997373721996493,0.99974502229438
catchall_65_70,sensitivity,52,65,70,0.999526810515072,0.00037934602491973557,0.9995268317608599,0.9995344802445132
catchall_65_70,sensitivity,53,65,70,0.9991476439927024,0.0006831081805525052,0.9991476652304309,0.9991553108126622
catchall_65_70,sensitivity,54,65,70,0.9984651180635112,0.0012294360419105033,0.998465139286732,0.9984727796462036
catchall_65_70,sensitivity,55,65,70,0.9972375690607735,0.0022105257540327994,0.9972375902579017,0.99724522122404
catchall_65_70,sensitivity,56,65,70,0.9950331497314756,0.00396752614490703,0.995033170881747,0.9950407849794382
catchall_65_70,sensitivity,57,65,70,0.9910853296948667,0.007098663875114486,0.9910853507612238,0.9910929346497833
catchall_65_70,sensitivity,58,65,70,0.9840499480678059,0.012630112269292892,0.98404996898462,0.9840574990377037
catchall_65_70,sensitivity,59,65,70,0.9716212867451176,0.02225279235858213,0.97162130739775,0.971628742345418
catchall_65_70,sensitivity,60,65,70,0.9500000000000001,0.038553205355886466,0.9500000201930537,0.950007289692375
catchall_65_70,sensitivity,61,65,70,0.9133744549119079,0.06495935461926405,0.9133744743264547,0.9133814635632758
catchall_65_70,sensitivity,62,65,70,0.8540422397951083,0.10478946132556455,0.8540422579484986,0.8540487931690065
catchall_65_70,sensitivity,63,65,70,0.7645476135377003,0.15883601968644978,0.7645476297888066,0.7645534801870778
catchall_65_70,sensitivity,64,65,70,0.643109913742598,0.22252792358582285,0.6431099274124432,0.6431148485567395
catchall_65_70,sensitivity,65,65,70,0.5,0.28621982748519603,0.500000010627923,0.5000038366801973
catchall_65_70,sensitivity,66,65,70,0.356890086257402,0.34026638584608115,0.3568900938434027,0.3568928248036551
catchall_65_70,sensitivity,67,65,70,0.23545238646229966,0.38009649255238176,0.2354523914670393,0.23545419317331676
catchall_65_70,sensitivity,68,65,70,0.14595776020489165,0.40650264181575924,0.14595776330734733,0.14595888019138809
catchall_65_70,sensitivity,69,65,70,0.0866255450880921,0.42280305481306335,0.08662554692939134,0.08662620979711895
catchall_65_70,sensitivity,70,65,70,0.05000000000000001,0.4324257349023529,0.05000000106279231,0.05000038366801974
catchall_65_70,sensitivity,71,65,70,0.028378713254882358,0.43795718329653144,0.028378713858095917,0.0283789310149767
catchall_65_70,sensitivity,72,65,70,0.015950051932194138,0.44108832102673856,0.015950052271225985,0.015950174322690927
catchall_65_70,sensitivity,73,65,70,0.008914670305133338,0.4428453214176128,0.008914670494622197,0.00891473871061139
catchall_65_70,sensitivity,74,65,70,0.004966850268524517,0.44382641112973487,0.0049668503740991216,0.004966888380956653
catchall_65_70,sensitivity,75,65,70,0.0027624309392265205,0.44437273899109364,0.002762430997944327,0.0027624521363546826
catchall_65_70,sensitivity,76,65,70,0.0015348819364886922,0.44467650114672597,0.0015348819691139062,0.001534893714190954
catchall_65_70,sensitivity,77,65,70,0.0008523560072975894,0.44484525142455833,0.0008523560254151374,0.0008523625477324179
catchall_65_70,sensitivity,78,65,70,0.00047318948492806054,0.4449389536759163,0.0004731894949861034,0.0004731931158815133
catchall_65_70,sensitivity,79,65,70,0.0002626490506137235,0.4449909702259932,0.00026264905619655126,0.0002626510660145462
catchall_65_70,sensitivity,80,65,70,0.00014577259475218667,0.4450198417540816,0.00014577259785070648,0.00014577371331784186
catchall_65_70,sensitivity,81,65,70,8.090089770348669e-05,0.4450358654562486,8.09008994231037e-05,8.090151848523102e-05
catchall_65_70,sensitivity,82,65,70,4.489709667782805e-05,0.4450447582139454,4.489709763215382e-05,4.489744118943153e-05
catchall_65_70,sensitivity,83,65,70,2.4915879142335934e-05,0.4450496933511702,2.4915879671944023e-05,2.4916070330856143e-05
catchall_65_70,sensitivity,84,65,70,1.3827074770464509e-05,0.44505243212393886,1.382707506437068e-05,1.3827180870592426e-05
catchall_65_70,sensitivity,85,65,70,7.673301514709726e-06,0.4450539520044178,7.67330167781224e-06,7.673360394717664e-06
