case,role,dimension,group,quantity,policy,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,category,EB-3,age21_events_2025_2040,Capped minus uncapped,50,23352.0,282.27045939116255,39.9190711928266,23271.779623041697,23432.220376958303,50,0,0
catchall_60_65,primary,category,EB-3,principal_exits_2025_2040,Capped,50,244833.04,452.4934528785573,63.992237794588675,244704.44278355953,244961.6372164405,50,0,0
catchall_60_65,primary,category,EB-3,principal_exits_2025_2040,Uncapped,50,249870.64,389.93232065818495,55.14475762824197,249759.8224606128,249981.45753938722,50,0,0
catchall_60_65,primary,category,EB-3,principal_exits_2025_2040,Capped minus uncapped,50,-5037.6,431.68970337500525,61.05014332497509,-5160.284856249061,-4914.91514375094,0,0,50
catchall_60_65,primary,category,EB-3,principal_backlog_2040,Capped,50,552546.68,492.7853546061264,69.69037318228189,552406.6319517867,552686.7280482134,50,0,0
catchall_60_65,primary,category,EB-3,principal_backlog_2040,Uncapped,50,558386.9,508.1070612718206,71.85718971881458,558242.4975709314,558531.3024290686,50,0,0
catchall_60_65,primary,category,EB-3,principal_backlog_2040,Capped minus uncapped,50,-5840.22,513.7448064189545,72.65448728364257,-5986.22465851153,-5694.215341488471,0,0,50
catchall_60_65,primary,category,EB-4,age21_events_2025_2040,Capped,50,49638.32,287.0287221637214,40.591991167455376,49556.74733972411,49719.89266027589,50,0,0
catchall_60_65,primary,category,EB-4,age21_events_2025_2040,Uncapped,50,49807.56,241.6991856141237,34.18142663100258,49738.869851472584,49876.25014852741,50,0,0
catchall_60_65,primary,category,EB-4,age21_events_2025_2040,Capped minus uncapped,50,-169.24,206.55587374749678,29.211411804153467,-227.94252980321158,-110.53747019678845,12,0,38
catchall_60_65,primary,category,EB-4,principal_exits_2025_2040,Capped,50,519360.08,617.3433814436216,87.30553826788366,519184.6329522326,519535.5270477674,50,0,0
catchall_60_65,primary,category,EB-4,principal_exits_2025_2040,Uncapped,50,519465.12,556.6348834464004,78.72006014598665,519306.9261164653,519623.3138835347,50,0,0
catchall_60_65,primary,category,EB-4,principal_exits_2025_2040,Capped minus uncapped,50,-105.04,563.0094050760446,79.62155364021498,-265.0455025371335,54.965502537133474,21,0,29
catchall_60_65,primary,category,EB-4,principal_backlog_2040,Capped,50,1023905.42,668.6364769942984,94.55947740627028,1023715.3956157685,1024095.4443842316,50,0,0
catchall_60_65,primary,category,EB-4,principal_backlog_2040,Uncapped,50,1021519.32,597.942234599938,84.56180176869073,1021349.3866971586,1021689.2533028413,50,0,0
catchall_60_65,primary,category,EB-4,principal_backlog_2040,Capped minus uncapped,50,2386.1,590.5618995015317,83.51806476958828,2218.2641651860795,2553.9358348139203,50,0,0
catchall_60_65,primary,category,EB-5,age21_events_2025_2040,Capped,50,1122.2,49.79181147333283,7.0416255080711565,1108.0493237498426,1136.3506762501574,50,0,0
catchall_60_65,primary,category,EB-5,age21_events_2025_2040,Uncapped,50,576.74,27.54055265996539,3.894822308697347,568.9130615354233,584.5669384645768,50,0,0
catchall_60_65,primary,category,EB-5,age21_events_2025_2040,Capped minus uncapped,50,545.46,44.77390366027505,6.331986179674734,532.7353973714811,558.184602628519,50,0,0
catchall_60_65,primary,category,EB-5,principal_exits_2025_2040,Capped,50,3808.56,57.075374438955194,8.071676860909312,3792.3393580582074,3824.7806419417925,50,0,0
catchall_60_65,primary,category,EB-5,principal_exits_2025_2040,Uncapped,50,3386.8,47.31570046194055,6.691450530645924,3373.3530267131387,3400.2469732868617,50,0,0
catchall_60_65,primary,category,EB-5,principal_exits_2025_2040,Capped minus uncapped,50,421.76,57.8684503941518,8.183834738092415,405.31396836557144,438.20603163442854,50,0,0
catchall_60_65,primary,category,EB-5,principal_backlog_2040,Capped,50,26702.36,113.51899238741093,16.054009862120466,26670.098259324455,26734.621740675546,50,0,0
catchall_60_65,primary,category,EB-5,principal_backlog_2040,Uncapped,50,26616.6,110.37098849806871,15.608814882649364,26585.23291213089,26647.967087869107,50,0,0
catchall_60_65,primary,category,EB-5,principal_backlog_2040,Capped minus uncapped,50,85.76,79.15589371742372,11.19433384369439,63.26414391155399,108.25585608844602,44,0,6
catchall_60_65,primary,joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,50,1428.06,42.83638068516155,6.057979052793236,1415.886035308459,1440.233964691541,50,0,0
catchall_60_65,primary,joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,50,924.9,34.37740715133967,4.861699543264638,915.1300489874928,934.6699510125071,50,0,0
catchall_60_65,primary,joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,50,-589.04,28.421004017939886,4.019336933843081,-597.1171599719299,-580.96284002807,0,0,50
catchall_60_65,primary,joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,50,75505.98,283.43933519307774,40.08437519400642,75425.42743221432,75586.53256778567,50,0,0
catchall_60_65,primary,joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,50,457.14,75.99946562647796,10.747947502207298,435.54119084959916,478.7388091504008,50,0,0
catchall_60_65,primary,joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,50,-34597.3,247.27166337897287,34.9694939941098,-34667.57382918551,-34527.0261708145,0,0,50
catchall_60_65,primary,joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,50,43713.04,226.73692028518022,32.06544277580092,43648.602080230165,43777.47791976984,50,0,0
catchall_60_65,primary,joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,50,2192.76,73.29213561397391,10.365073220057003,2171.930605525942,2213.5893944740583,50,0,0
catchall_60_65,primary,joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,50,-22553.8,175.5171949248441,24.821879749239667,-22603.68143488307,-22503.91856511693,0,0,50
catchall_60_65,primary,joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,50,-800.38,58.060099052971104,8.210937951343702,-816.8804975806249,-783.8795024193751,0,0,50
catchall_60_65,primary,joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,50,-130.04,13.1272578232921,1.8564746050468002,-133.77072539466133,-126.30927460533866,0,0,50
catchall_60_65,primary,joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,50,761.18,203.31343953088185,28.752862359729527,703.3989598053021,818.9610401946978,50,0,0
