category,nationality,target_visas,unfilled_target,used_visas,year,seed
EB-4,ROW,18409,0,18409,2022,2014
EB-5,India,1381,0,1381,2022,2014
EB-5,China,6125,0,6125,2022,2014
EB-5,ROW,3379,0,3379,2022,2014
EB-1,India,16604,0,16604,2023,2014
EB-1,China,7007,0,7007,2023,2014
EB-1,ROW,33602,0,33602,2023,2014
EB-2,India,4301,0,4301,2023,2014
EB-2,China,6371,0,6371,2023,2014
EB-2,ROW,46245,0,46245,2023,2014
EB-3,India,4782,0,4782,2023,2014
EB-3,China,4218,0,4218,2023,2014
EB-3,ROW,47261,0,47261,2023,2014
EB-4,India,709,0,709,2023,2014
EB-4,China,141,0,141,2023,2014
EB-4,ROW,12870,0,12870,2023,2014
EB-5,India,815,0,815,2023,2014
EB-5,China,6262,0,6262,2023,2014
EB-5,ROW,2740,0,2740,2023,2014
EB-1,India,8809,0,8809,2024,2014
EB-1,China,6952,0,6952,2024,2014
EB-1,ROW,31433,0,31433,2024,2014
EB-2,India,3916,0,3916,2024,2014
EB-2,China,6556,0,6556,2024,2014
EB-2,ROW,35842,0,35842,2024,2014
EB-3,India,3655,0,3655,2024,2014
EB-3,China,6141,0,6141,2024,2014
EB-3,ROW,37494,0,37494,2024,2014
EB-4,India,428,0,428,2024,2014
EB-4,China,78,0,78,2024,2014
EB-4,ROW,11166,0,11166,2024,2014
EB-5,India,1428,0,1428,2024,2014
EB-5,China,9547,0,9547,2024,2014
EB-5,ROW,3949,0,3949,2024,2014
