annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,case,role,seed
1205,39665,EB-3,ROW,30192,Uncapped,2013,catchall_60_65,primary,2014
47,301,EB-4,India,1304,Uncapped,2013,catchall_60_65,primary,2014
3,23,EB-4,China,59,Uncapped,2013,catchall_60_65,primary,2014
1320,6122,EB-4,ROW,24240,Uncapped,2013,catchall_60_65,primary,2014
0,97,EB-5,India,0,Uncapped,2013,catchall_60_65,primary,2014
0,7193,EB-5,China,0,Uncapped,2013,catchall_60_65,primary,2014
0,1824,EB-5,ROW,0,Uncapped,2013,catchall_60_65,primary,2014
1,15178,EB-1,India,114,Uncapped,2014,catchall_60_65,primary,2014
2,7580,EB-1,China,75,Uncapped,2014,catchall_60_65,primary,2014
0,22988,EB-1,ROW,0,Uncapped,2014,catchall_60_65,primary,2014
1632,3030,EB-2,India,88378,Uncapped,2014,catchall_60_65,primary,2014
344,3030,EB-2,China,12736,Uncapped,2014,catchall_60_65,primary,2014
8,37229,EB-2,ROW,170,Uncapped,2014,catchall_60_65,primary,2014
2010,3030,EB-3,India,88392,Uncapped,2014,catchall_60_65,primary,2014
776,3030,EB-3,China,22984,Uncapped,2014,catchall_60_65,primary,2014
687,37229,EB-3,ROW,17811,Uncapped,2014,catchall_60_65,primary,2014
63,474,EB-4,India,1757,Uncapped,2014,catchall_60_65,primary,2014
5,15,EB-4,China,94,Uncapped,2014,catchall_60_65,primary,2014
1800,7800,EB-4,ROW,34822,Uncapped,2014,catchall_60_65,primary,2014
0,347,EB-5,India,0,Uncapped,2014,catchall_60_65,primary,2014
3,8032,EB-5,China,783,Uncapped,2014,catchall_60_65,primary,2014
0,2367,EB-5,ROW,0,Uncapped,2014,catchall_60_65,primary,2014
20,8935,EB-1,India,2481,Uncapped,2015,catchall_60_65,primary,2014
17,5370,EB-1,China,1808,Uncapped,2015,catchall_60_65,primary,2014
0,26865,EB-1,ROW,0,Uncapped,2015,catchall_60_65,primary,2014
2165,2882,EB-2,India,116384,Uncapped,2015,catchall_60_65,primary,2014
403,2882,EB-2,China,15899,Uncapped,2015,catchall_60_65,primary,2014
72,35406,EB-2,ROW,2559,Uncapped,2015,catchall_60_65,primary,2014
2071,2882,EB-3,India,91386,Uncapped,2015,catchall_60_65,primary,2014
776,2882,EB-3,China,22044,Uncapped,2015,catchall_60_65,primary,2014
352,35406,EB-3,ROW,10417,Uncapped,2015,catchall_60_65,primary,2014
105,715,EB-4,India,2733,Uncapped,2015,catchall_60_65,primary,2014
