case,role,scenario,year,outcome,dimension,group,threshold_age,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_55_60,sensitivity,Uncapped,2040,converted,nationality,ROW,60,share_pct,1,0.26055237102657636,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,converted,nationality,ROW,65,share_pct,1,0.011843289592117107,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,converted,nationality,ROW,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,converted,nationality,ROW,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,converted,nationality,ROW,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,overall,All EB,60,share_pct,1,0.0893961059833591,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,overall,All EB,65,share_pct,1,0.0020211293526672496,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,overall,All EB,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,overall,All EB,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,overall,All EB,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-1,60,share_pct,1,0.009635177155870889,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-1,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-1,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-1,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-1,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-2,60,share_pct,1,0.11448822189287894,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-2,65,share_pct,1,0.0021007013191353934,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-2,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-2,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-2,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-3,60,share_pct,1,0.09833345485430292,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-3,65,share_pct,1,0.0009853051588607508,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-3,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-3,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-3,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-4,60,share_pct,1,0.07146255260154319,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-4,65,share_pct,1,0.00275641274320238,,,,,1,0,0
