case,role,scenario,entry_cohort_window,dimension,group,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,Uncapped,entries_2025_2040,joint,EB-5 / India,still_dependent,50,3486.46,85.79334687111198,12.13301147065059,3462.0778005967754,3510.8421994032246,50,0,0
catchall_60_65,primary,Uncapped,entries_2025_2040,joint,EB-5 / China,still_dependent,50,7636.7,102.27618670710665,14.464037034899308,7607.633429345746,7665.766570654254,50,0,0
catchall_60_65,primary,Uncapped,entries_2025_2040,joint,EB-5 / ROW,still_dependent,50,6266.44,116.6839722830651,16.5016056114277,6233.2787819904015,6299.601218009598,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,overall,All,still_dependent,50,714555.54,783.2467281405376,110.76781456207007,714332.9437427851,714778.1362572149,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,nationality,India,still_dependent,50,375312.2,531.7148614413095,75.19583683656309,375161.08830835804,375463.311691642,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,nationality,China,still_dependent,50,80971.42,351.8628611564802,49.76092303428956,80871.42168129359,81071.4183187064,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,nationality,ROW,still_dependent,50,258271.92,602.6826707585453,85.23220067939735,258100.63948010866,258443.20051989137,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,category,EB-1,still_dependent,50,55336.76,260.9135097917253,36.89874241538232,55262.60920096084,55410.910799039164,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,category,EB-2,still_dependent,50,338132.36,527.6959452300586,74.62747625536387,337982.39047170774,338282.32952829223,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,category,EB-3,still_dependent,50,203693.98,542.9787641955686,76.78879324059558,203539.66714261466,203848.29285738536,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,category,EB-4,still_dependent,50,102150.36,369.91166954464427,52.31340999501105,102045.23226670423,102255.48773329577,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,category,EB-5,still_dependent,50,15242.08,147.83455175931488,20.90696280853704,15200.065885256381,15284.094114743619,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-1 / India,still_dependent,50,39764.1,240.3748985163274,33.99414415358466,39695.78620970155,39832.413790298444,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-1 / China,still_dependent,50,15572.66,153.75339518401617,21.744013673014578,15528.96376856691,15616.35623143309,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-1 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-2 / India,still_dependent,50,254584.5,393.2679021445087,55.61648008587794,254472.7344988431,254696.2655011569,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-2 / China,still_dependent,50,30951.28,191.6902305538702,27.109092382370868,30896.802239247336,31005.757760752662,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-2 / ROW,still_dependent,50,52596.58,417.113848795677,58.988806202048686,52478.03755578855,52715.122444211454,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-3 / India,still_dependent,50,67958.66,328.18341126353636,46.41214311547603,67865.39130649304,68051.92869350697,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-3 / China,still_dependent,50,23988.54,158.86500622881564,22.46690463952773,23943.391064781463,24033.68893521854,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-3 / ROW,still_dependent,50,111746.78,501.1111445414814,70.86781768668673,111604.36578846745,111889.19421153255,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-4 / India,still_dependent,50,8221.8,147.13009653406215,20.80733779517334,8179.986089216236,8263.613910783763,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-4 / China,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-4 / ROW,still_dependent,50,93928.56,345.0216296088684,48.79342679049283,93830.50593778715,94026.61406221284,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-5 / India,still_dependent,50,4783.14,96.76143817847763,13.684133818672885,4755.640703536433,4810.639296463568,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-5 / China,still_dependent,50,10458.94,111.90327638325037,15.825513113517754,10427.137440732211,10490.74255926779,50,0,0
catchall_60_65,primary,Capped,all_entries_2009_2040,joint,EB-5 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,overall,All,still_dependent,50,36484.36,184.1529710178304,26.043162916471523,36432.02430470654,36536.69569529346,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,nationality,India,still_dependent,50,32807.44,176.2057192891425,24.91925179864118,32757.362888657666,32857.51711134234,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,nationality,China,still_dependent,50,1920.78,50.4539757944742,7.135269684418926,1906.4411387319528,1935.118861268047,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,nationality,ROW,still_dependent,50,1756.14,47.44793494570912,6.710151310681816,1742.6554460886637,1769.6245539113365,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,category,EB-1,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,category,EB-2,still_dependent,50,24256.04,130.2130060277218,18.414899912177376,24219.033873142274,24293.046126857727,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,category,EB-3,still_dependent,50,10472.18,115.13163539786862,16.28207202378601,10439.459951251845,10504.900048748155,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,category,EB-4,still_dependent,50,1756.14,47.44793494570912,6.710151310681816,1742.6554460886637,1769.6245539113365,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,category,EB-5,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-1 / India,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
