seed,metric,period,dimension,group,scenario,value
2015,visas,projection,overall,All,Capped minus uncapped,0.0
2015,visas,full,overall,All,Uncapped,5249337.0
2015,visas,full,overall,All,Capped,5249337.0
2015,visas,full,overall,All,Capped minus uncapped,0.0
2015,conversions,historical,overall,All,Uncapped,1162682.0
2015,conversions,historical,overall,All,Capped,1162682.0
2015,conversions,historical,overall,All,Capped minus uncapped,0.0
2015,conversions,projection,overall,All,Uncapped,1266944.0
2015,conversions,projection,overall,All,Capped,1263537.0
2015,conversions,projection,overall,All,Capped minus uncapped,-3407.0
2015,conversions,full,overall,All,Uncapped,2429626.0
2015,conversions,full,overall,All,Capped,2426219.0
2015,conversions,full,overall,All,Capped minus uncapped,-3407.0
2015,backlog,end2040,overall,All,Uncapped,2791148.0
2015,backlog,end2040,overall,All,Capped,2773472.0
2015,backlog,end2040,overall,All,Capped minus uncapped,-17676.0
2015,relative_ageout_change_pct,historical,overall,All,Capped minus uncapped,0.0
2015,relative_ageout_change_pct,projection,overall,All,Capped minus uncapped,33.4637505184208
2015,relative_ageout_change_pct,full,overall,All,Capped minus uncapped,30.005690193600998
2016,ageouts,historical,overall,All,Uncapped,23452.0
2016,ageouts,historical,overall,All,Capped,23452.0
2016,ageouts,historical,overall,All,Capped minus uncapped,0.0
2016,ageouts,projection,overall,All,Uncapped,199354.0
2016,ageouts,projection,overall,All,Capped,266067.0
2016,ageouts,projection,overall,All,Capped minus uncapped,66713.0
2016,ageouts,full,overall,All,Uncapped,222806.0
2016,ageouts,full,overall,All,Capped,289519.0
2016,ageouts,full,overall,All,Capped minus uncapped,66713.0
2016,ageouts,historical,nationality,India,Uncapped,14415.0
2016,ageouts,historical,nationality,India,Capped,14415.0
2016,ageouts,historical,nationality,India,Capped minus uncapped,0.0
2016,ageouts,projection,nationality,India,Uncapped,73239.0
2016,ageouts,projection,nationality,India,Capped,193206.0
2016,ageouts,projection,nationality,India,Capped minus uncapped,119967.0
2016,ageouts,full,nationality,India,Uncapped,87654.0
2016,ageouts,full,nationality,India,Capped,207621.0
2016,ageouts,full,nationality,India,Capped minus uncapped,119967.0
2016,ageouts,historical,nationality,China,Uncapped,2111.0
2016,ageouts,historical,nationality,China,Capped,2111.0
2016,ageouts,historical,nationality,China,Capped minus uncapped,0.0
2016,ageouts,projection,nationality,China,Uncapped,14564.0
2016,ageouts,projection,nationality,China,Capped,18529.0
2016,ageouts,projection,nationality,China,Capped minus uncapped,3965.0
2016,ageouts,full,nationality,China,Uncapped,16675.0
2016,ageouts,full,nationality,China,Capped,20640.0
2016,ageouts,full,nationality,China,Capped minus uncapped,3965.0
2016,ageouts,historical,nationality,ROW,Uncapped,6926.0
2016,ageouts,historical,nationality,ROW,Capped,6926.0
2016,ageouts,historical,nationality,ROW,Capped minus uncapped,0.0
2016,ageouts,projection,nationality,ROW,Uncapped,111551.0
2016,ageouts,projection,nationality,ROW,Capped,54332.0
2016,ageouts,projection,nationality,ROW,Capped minus uncapped,-57219.0
2016,ageouts,full,nationality,ROW,Uncapped,118477.0
2016,ageouts,full,nationality,ROW,Capped,61258.0
2016,ageouts,full,nationality,ROW,Capped minus uncapped,-57219.0
2016,ageouts,historical,category,EB-1,Uncapped,2.0
2016,ageouts,historical,category,EB-1,Capped,2.0
