year,category,nationality,observed,model
2019,EB-2,China,3369,2814.0
2019,EB-2,ROW,33775,34579.0
2019,EB-3,India,5083,2814.0
2019,EB-3,China,3682,2814.0
2019,EB-3,ROW,32111,34579.0
2019,EB-4,India,659,699.0
2019,EB-4,China,89,196.28
2019,EB-4,ROW,9340,9086.72
2019,EB-5,India,760,699.0
2019,EB-5,China,4327,6995.64
2019,EB-5,ROW,4391,2287.36
2020,EB-1,India,17014,10877.44
2020,EB-1,China,4766,4766.0
2020,EB-1,ROW,25423,33294.56
2020,EB-2,India,2599,2599.0
2020,EB-2,China,3118,3118.0
2020,EB-2,ROW,37410,36369.0
2020,EB-3,India,3194,2946.0
2020,EB-3,China,3499,2946.0
2020,EB-3,ROW,36128,36193.0
2020,EB-4,India,734,731.0
2020,EB-4,China,256,181.76
2020,EB-4,ROW,9416,9535.24
2020,EB-5,India,613,731.0
2020,EB-5,China,1564,1209.94
2020,EB-5,ROW,1419,1655.06
2021,EB-1,India,30825,30825.0
2021,EB-1,China,9118,9118.0
2021,EB-1,ROW,21553,18835.62
2021,EB-2,India,28246,28246.0
2021,EB-2,China,6091,6091.0
2021,EB-2,ROW,25404,25404.0
2021,EB-3,India,14954,21070.38
2021,EB-3,China,5113,3914.0
2021,EB-3,ROW,35173,35173.0
2021,EB-4,India,569,972.0
2021,EB-4,China,182,72.74
2021,EB-4,ROW,15330,12836.26
2021,EB-5,India,211,972.0
2021,EB-5,China,1567,972.0
2021,EB-5,ROW,1171,1005.0
2022,EB-1,India,21437,20309.5
2022,EB-1,China,11425,11425.0
2022,EB-1,ROW,21275,22402.5
2022,EB-2,India,59431,59432.0
2022,EB-2,China,8523,8523.0
2022,EB-2,ROW,41355,41355.0
2022,EB-3,India,12600,13919.0
2022,EB-3,China,6452,5510.0
2022,EB-3,ROW,61946,61946.0
2022,EB-4,India,1232,1368.0
2022,EB-4,China,280,185.4
2022,EB-4,ROW,18409,17989.6
2022,EB-5,India,1381,1368.0
2022,EB-5,China,6125,8513.38
2022,EB-5,ROW,3379,1003.62
2023,EB-1,India,16604,15550.12
2023,EB-1,China,7007,9206.26
2023,EB-1,ROW,33602,30707.62
2023,EB-2,India,4301,3882.0
2023,EB-2,China,6371,3882.0
2023,EB-2,ROW,46245,47699.0
2023,EB-3,India,4782,3882.0
2023,EB-3,China,4218,3882.0
2023,EB-3,ROW,47261,47699.0
2023,EB-4,India,709,964.0
2023,EB-4,China,141,200.16
2023,EB-4,ROW,12870,12604.84
2023,EB-5,India,815,964.0
2023,EB-5,China,6262,11227.08
2023,EB-5,ROW,2740,1577.92
2024,EB-1,India,8809,12308.88
2024,EB-1,China,6952,5732.3
2024,EB-1,ROW,31433,29833.82
2024,EB-2,India,3916,3351.0
2024,EB-2,China,6556,3351.0
2024,EB-2,ROW,35842,41173.0
2024,EB-3,India,3655,3351.0
2024,EB-3,China,6141,3351.0
2024,EB-3,ROW,37494,41172.0
2024,EB-4,India,428,832.0
2024,EB-4,China,78,318.78
2024,EB-4,ROW,11166,10734.22
2024,EB-5,India,1428,832.0
2024,EB-5,China,9547,7095.92
2024,EB-5,ROW,3949,3957.08
