metric,period,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
ageouts,full,category,EB-1,Capped minus uncapped,50,1763.92,64.39921409078067,9.107424197335055,1745.6179458590038,1782.2220541409963,1641.375,1888.875
ageouts,historical,category,EB-2,Uncapped,50,6299.3,85.00666240396234,12.021757486375462,6275.141373848607,6323.458626151393,6167.125,6456.075
ageouts,historical,category,EB-2,Capped,50,6299.3,85.00666240396234,12.021757486375462,6275.141373848607,6323.458626151393,6167.125,6456.075
ageouts,historical,category,EB-2,Capped minus uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ageouts,projection,category,EB-2,Uncapped,50,108480.26,344.84973420850054,48.76911710984185,108382.2547899194,108578.26521008059,107884.0,108904.65
ageouts,projection,category,EB-2,Capped,50,149846.08,404.2582948803794,57.170756332165446,149731.19106378692,149960.96893621306,149051.975,150590.75
ageouts,projection,category,EB-2,Capped minus uncapped,50,41365.82,352.1097167830806,49.7958336917982,41265.751525700754,41465.888474299245,40611.4,41963.6
ageouts,full,category,EB-2,Uncapped,50,114779.56,370.71123918373837,52.426486217777914,114674.20503152706,114884.91496847293,114117.75,115410.8
ageouts,full,category,EB-2,Capped,50,156145.38,405.78052225913694,57.386031792570904,156030.05845155256,156260.70154844745,155282.325,156828.0
ageouts,full,category,EB-2,Capped minus uncapped,50,41365.82,352.1097167830806,49.7958336917982,41265.751525700754,41465.888474299245,40611.4,41963.6
ageouts,historical,category,EB-3,Uncapped,50,9609.7,86.26850585260426,12.200209098241567,9585.182761908376,9634.217238091625,9451.175,9763.9
ageouts,historical,category,EB-3,Capped,50,9609.7,86.26850585260426,12.200209098241567,9585.182761908376,9634.217238091625,9451.175,9763.9
ageouts,historical,category,EB-3,Capped minus uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ageouts,projection,category,EB-3,Uncapped,50,40211.84,229.95947824052186,32.521181292398666,40146.4862393926,40277.19376060739,39838.15,40585.4
