aged_out,ageout_pct,eb_category,entry_year,exit_pct,exited,nationality,save_pct,saved,scenario,still_dependent,total_created,seed,observation_end_year
341,3.0806757611347004,EB-4,2013,19.63140301743608,2173,ROW,77.28792122142922,8555,Uncapped,0,11069,2014,2061
0,0.0,EB-5,2013,0.0,0,ROW,100.0,594,Uncapped,0,594,2014,2061
0,0.0,EB-1,2014,0.0,0,China,100.0,1123,Uncapped,0,1123,2014,2061
23,2.843016069221261,EB-2,2014,14.338689740420271,116,China,82.81829419035847,670,Uncapped,0,809,2014,2061
193,14.402985074626864,EB-3,2014,33.059701492537314,443,China,52.537313432835816,704,Uncapped,0,1340,2014,2061
0,0.0,EB-4,2014,3.225806451612903,1,China,96.7741935483871,30,Uncapped,0,31,2014,2061
0,0.0,EB-5,2014,0.09021199819576003,2,China,99.90978800180424,2215,Uncapped,0,2217,2014,2061
0,0.0,EB-1,2014,0.0,0,India,100.0,3378,Uncapped,0,3378,2014,2061
1196,10.041981528127623,EB-2,2014,16.288832913518053,1940,India,73.66918555835433,8774,Uncapped,0,11910,2014,2061
195,10.48951048951049,EB-3,2014,24.314147391070467,452,India,65.19634211941904,1212,Uncapped,0,1859,2014,2061
27,5.162523900573614,EB-4,2014,14.340344168260039,75,India,80.49713193116634,421,Uncapped,0,523,2014,2061
0,0.0,EB-5,2014,0.0,0,India,100.0,97,Uncapped,0,97,2014,2061
0,0.0,EB-1,2014,0.0,0,ROW,100.0,6258,Uncapped,0,6258,2014,2061
0,0.0,EB-2,2014,0.07648601398601398,7,ROW,99.92351398601399,9145,Uncapped,0,9152,2014,2061
0,0.0,EB-3,2014,3.593692702603594,98,ROW,96.40630729739641,2629,Uncapped,0,2727,2014,2061
622,6.661668630181,EB-4,2014,28.146085466423905,2628,ROW,65.19224590339509,6087,Uncapped,0,9337,2014,2061
0,0.0,EB-5,2014,0.0,0,ROW,100.0,752,Uncapped,0,752,2014,2061
0,0.0,EB-1,2015,0.30816640986132515,4,China,99.69183359013869,1294,Uncapped,0,1298,2014,2061
33,2.813299232736573,EB-2,2015,14.151747655583973,166,China,83.03495311167946,974,Uncapped,0,1173,2014,2061
72,16.0,EB-3,2015,33.77777777777778,152,China,50.22222222222222,226,Uncapped,0,450,2014,2061
0,0.0,EB-4,2015,0.0,0,China,100.0,61,Uncapped,0,61,2014,2061
0,0.0,EB-5,2015,1.5468347178458894,54,China,98.4531652821541,3437,Uncapped,0,3491,2014,2061
0,0.0,EB-1,2015,0.47125353440150797,15,India,99.52874646559849,3168,Uncapped,0,3183,2014,2061
1498,10.095019880045825,EB-2,2015,16.214030595053575,2406,India,73.69094952490059,10935,Uncapped,0,14839,2014,2061
271,9.315916122378825,EB-3,2015,23.719491234101064,690,India,66.96459264352012,1948,Uncapped,0,2909,2014,2061
87,8.040665434380777,EB-4,2015,21.256931608133087,230,India,70.70240295748613,765,Uncapped,0,1082,2014,2061
0,0.0,EB-5,2015,0.0,0,India,100.0,238,Uncapped,0,238,2014,2061
0,0.0,EB-1,2015,0.0,0,ROW,100.0,7176,Uncapped,0,7176,2014,2061
0,0.0,EB-2,2015,0.4275203817856433,43,ROW,99.57247961821436,10015,Uncapped,0,10058,2014,2061
0,0.0,EB-3,2015,3.4608378870673953,152,ROW,96.53916211293262,4240,Uncapped,0,4392,2014,2061
1254,9.76027397260274,EB-4,2015,31.92714819427148,4102,ROW,58.31257783312578,7492,Uncapped,0,12848,2014,2061
0,0.0,EB-5,2015,0.0,0,ROW,100.0,1518,Uncapped,0,1518,2014,2061
0,0.0,EB-1,2016,1.3636363636363635,18,China,98.63636363636363,1302,Uncapped,0,1320,2014,2061
75,4.876462938881664,EB-2,2016,15.084525357607282,232,China,80.03901170351105,1231,Uncapped,0,1538,2014,2061
123,11.32596685082873,EB-3,2016,36.279926335174956,394,China,52.39410681399632,569,Uncapped,0,1086,2014,2061
0,0.0,EB-4,2016,0.0,0,China,100.0,69,Uncapped,0,69,2014,2061
0,0.0,EB-5,2016,5.087658989343416,148,China,94.91234101065659,2761,Uncapped,0,2909,2014,2061
0,0.0,EB-1,2016,0.9732360097323601,40,India,99.02676399026764,4070,Uncapped,0,4110,2014,2061
2693,12.11099118546501,EB-2,2016,17.15236553336931,3814,India,70.73664328116568,15729,Uncapped,0,22236,2014,2061
308,6.529573881704473,EB-3,2016,22.959508161967353,1083,India,70.51091795632817,3326,Uncapped,0,4717,2014,2061
64,9.182209469153516,EB-4,2016,21.951219512195124,153,India,68.86657101865137,480,Uncapped,0,697,2014,2061
0,0.0,EB-5,2016,0.0,0,India,100.0,294,Uncapped,0,294,2014,2061
0,0.0,EB-1,2016,0.16698473282442747,14,ROW,99.83301526717557,8370,Uncapped,0,8384,2014,2061
0,0.0,EB-2,2016,0.8298420883016435,103,ROW,99.17015791169835,12309,Uncapped,0,12412,2014,2061
0,0.0,EB-3,2016,2.432236205227493,201,ROW,97.56776379477252,8063,Uncapped,0,8264,2014,2061
1711,14.030340303403033,EB-4,2016,35.43255432554325,4321,ROW,50.53710537105371,6163,Uncapped,0,12195,2014,2061
0,0.0,EB-5,2016,0.0,0,ROW,100.0,1429,Uncapped,0,1429,2014,2061
0,0.0,EB-1,2017,2.423469387755102,38,China,97.5765306122449,1530,Uncapped,0,1568,2014,2061
301,22.597597597597595,EB-2,2017,24.324324324324326,324,China,53.07807807807807,707,Uncapped,0,1332,2014,2061
203,14.077669902912621,EB-3,2017,31.27600554785021,451,China,54.64632454923717,788,Uncapped,0,1442,2014,2061
0,0.0,EB-4,2017,0.0,0,China,100.0,26,Uncapped,0,26,2014,2061
43,1.0459742155193383,EB-5,2017,5.619070785696911,231,China,93.33495499878374,3837,Uncapped,0,4111,2014,2061
0,0.0,EB-1,2017,1.5809396570919616,71,India,98.41906034290804,4420,Uncapped,0,4491,2014,2061
2876,14.89306612811351,EB-2,2017,18.264201750297758,3527,India,66.84273212158874,12908,Uncapped,0,19311,2014,2061
267,6.781813563627128,EB-3,2017,21.818643637287273,859,India,71.39954279908561,2811,Uncapped,0,3937,2014,2061
70,14.198782961460447,EB-4,2017,37.52535496957404,185,India,48.275862068965516,238,Uncapped,0,493,2014,2061
0,0.0,EB-5,2017,1.4336917562724014,8,India,98.56630824372759,550,Uncapped,0,558,2014,2061
0,0.0,EB-1,2017,0.5027422303473492,44,ROW,99.49725776965265,8708,Uncapped,0,8752,2014,2061
0,0.0,EB-2,2017,1.538911074315769,158,ROW,98.46108892568422,10109,Uncapped,0,10267,2014,2061
0,0.0,EB-3,2017,2.624137541002149,232,ROW,97.37586245899786,8609,Uncapped,0,8841,2014,2061
1441,17.880630351160193,EB-4,2017,39.62030028539521,3193,ROW,42.4990693634446,3425,Uncapped,0,8059,2014,2061
0,0.0,EB-5,2017,0.0,0,ROW,100.0,2081,Uncapped,0,2081,2014,2061
0,0.0,EB-1,2018,3.011583011583012,39,China,96.98841698841699,1256,Uncapped,0,1295,2014,2061
407,25.170068027210885,EB-2,2018,25.60296846011132,414,China,49.2269635126778,796,Uncapped,0,1617,2014,2061
144,10.75429424943988,EB-3,2018,31.06796116504854,416,China,58.17774458551157,779,Uncapped,0,1339,2014,2061
0,0.0,EB-4,2018,0.0,0,China,100.0,42,Uncapped,0,42,2014,2061
246,5.060687101419461,EB-5,2018,8.72248508537338,424,China,86.21682781320716,4191,Uncapped,0,4861,2014,2061
0,0.0,EB-1,2018,2.2921914357682622,91,India,97.70780856423174,3879,Uncapped,0,3970,2014,2061
3148,17.26066454655116,EB-2,2018,18.86720035091567,3441,India,63.872135102533164,11649,Uncapped,0,18238,2014,2061
152,4.035041146801168,EB-3,2018,21.34324396071144,804,India,74.62171489248739,2811,Uncapped,0,3767,2014,2061
76,20.105820105820104,EB-4,2018,35.714285714285715,135,India,44.17989417989418,167,Uncapped,0,378,2014,2061
7,0.7990867579908676,EB-5,2018,3.0821917808219177,27,India,96.11872146118722,842,Uncapped,0,876,2014,2061
0,0.0,EB-1,2018,0.9715380405035577,71,ROW,99.02846195949644,7237,Uncapped,0,7308,2014,2061
0,0.0,EB-2,2018,1.7504021194058095,185,ROW,98.24959788059418,10384,Uncapped,0,10569,2014,2061
0,0.0,EB-3,2018,3.586166240911771,365,ROW,96.41383375908823,9813,Uncapped,0,10178,2014,2061
1225,19.621976613807465,EB-4,2018,41.59859042127182,2597,ROW,38.779432964920716,2421,Uncapped,0,6243,2014,2061
0,0.0,EB-5,2018,0.0,0,ROW,100.0,2612,Uncapped,0,2612,2014,2061
0,0.0,EB-1,2019,2.719298245614035,31,China,97.28070175438597,1109,Uncapped,0,1140,2014,2061
553,26.637764932562618,EB-2,2019,27.3121387283237,567,China,46.05009633911368,956,Uncapped,0,2076,2014,2061
108,8.955223880597014,EB-3,2019,32.00663349917081,386,China,59.03814262023217,712,Uncapped,0,1206,2014,2061
0,0.0,EB-4,2019,0.0,0,China,100.0,47,Uncapped,0,47,2014,2061
45,3.557312252964427,EB-5,2019,9.802371541501977,124,China,86.6403162055336,1096,Uncapped,0,1265,2014,2061
0,0.0,EB-1,2019,2.1375719375171283,78,India,97.86242806248288,3571,Uncapped,0,3649,2014,2061
4288,21.14919852034525,EB-2,2019,19.551171393341555,3964,India,59.29963008631319,12023,Uncapped,0,20275,2014,2061
178,3.503937007874016,EB-3,2019,19.82283464566929,1007,India,76.6732283464567,3895,Uncapped,0,5080,2014,2061
100,19.801980198019802,EB-4,2019,40.0,202,India,40.1980198019802,203,Uncapped,0,505,2014,2061
4,1.444043321299639,EB-5,2019,6.4981949458483745,18,India,92.05776173285199,255,Uncapped,0,277,2014,2061
0,0.0,EB-1,2019,0.8047585724282715,46,ROW,99.19524142757172,5670,Uncapped,0,5716,2014,2061
6,0.055167340934166975,EB-2,2019,3.5307098197866864,384,ROW,96.41412283927914,10486,Uncapped,0,10876,2014,2061
0,0.0,EB-3,2019,5.654083957045232,695,ROW,94.34591604295477,11597,Uncapped,0,12292,2014,2061
1909,22.069364161849713,EB-4,2019,43.052023121387286,3724,ROW,34.87861271676301,3017,Uncapped,0,8650,2014,2061
0,0.0,EB-5,2019,0.0,0,ROW,100.0,774,Uncapped,0,774,2014,2061
0,0.0,EB-1,2020,1.991150442477876,18,China,98.00884955752213,886,Uncapped,0,904,2014,2061
