scenario,entry_year,nationality,eb_category,seed,fate,value,observation_end_year
Uncapped,2011,ROW,EB-2,2014,aged_out,0.0,2061
Uncapped,2011,ROW,EB-2,2014,exited,0.34775493505165184,2061
Uncapped,2011,ROW,EB-2,2014,still_dependent,0.0,2061
Uncapped,2011,ROW,EB-3,2014,saved,86.75057208237986,2061
Uncapped,2011,ROW,EB-3,2014,aged_out,0.5491990846681922,2061
Uncapped,2011,ROW,EB-3,2014,exited,12.700228832951945,2061
Uncapped,2011,ROW,EB-3,2014,still_dependent,0.0,2061
Uncapped,2011,ROW,EB-4,2014,saved,94.97784342688331,2061
Uncapped,2011,ROW,EB-4,2014,aged_out,0.049236829148202856,2061
Uncapped,2011,ROW,EB-4,2014,exited,4.972919743968489,2061
Uncapped,2011,ROW,EB-4,2014,still_dependent,0.0,2061
Uncapped,2011,ROW,EB-5,2014,saved,100.0,2061
Uncapped,2011,ROW,EB-5,2014,aged_out,0.0,2061
Uncapped,2011,ROW,EB-5,2014,exited,0.0,2061
Uncapped,2011,ROW,EB-5,2014,still_dependent,0.0,2061
Uncapped,2012,China,EB-1,2014,saved,100.0,2061
Uncapped,2012,China,EB-1,2014,aged_out,0.0,2061
Uncapped,2012,China,EB-1,2014,exited,0.0,2061
Uncapped,2012,China,EB-1,2014,still_dependent,0.0,2061
Uncapped,2012,China,EB-2,2014,saved,85.54533508541392,2061
Uncapped,2012,China,EB-2,2014,aged_out,0.657030223390276,2061
Uncapped,2012,China,EB-2,2014,exited,13.797634691195794,2061
Uncapped,2012,China,EB-2,2014,still_dependent,0.0,2061
Uncapped,2012,China,EB-3,2014,saved,51.42857142857143,2061
Uncapped,2012,China,EB-3,2014,aged_out,14.285714285714286,2061
Uncapped,2012,China,EB-3,2014,exited,34.285714285714285,2061
Uncapped,2012,China,EB-3,2014,still_dependent,0.0,2061
Uncapped,2012,China,EB-4,2014,saved,85.71428571428571,2061
Uncapped,2012,China,EB-4,2014,aged_out,0.0,2061
Uncapped,2012,China,EB-4,2014,exited,14.285714285714286,2061
Uncapped,2012,China,EB-4,2014,still_dependent,0.0,2061
Uncapped,2012,China,EB-5,2014,saved,100.0,2061
Uncapped,2012,China,EB-5,2014,aged_out,0.0,2061
Uncapped,2012,China,EB-5,2014,exited,0.0,2061
Uncapped,2012,China,EB-5,2014,still_dependent,0.0,2061
Uncapped,2012,India,EB-1,2014,saved,100.0,2061
Uncapped,2012,India,EB-1,2014,aged_out,0.0,2061
Uncapped,2012,India,EB-1,2014,exited,0.0,2061
Uncapped,2012,India,EB-1,2014,still_dependent,0.0,2061
Uncapped,2012,India,EB-2,2014,saved,78.34413109756098,2061
Uncapped,2012,India,EB-2,2014,aged_out,6.431021341463414,2061
Uncapped,2012,India,EB-2,2014,exited,15.22484756097561,2061
Uncapped,2012,India,EB-2,2014,still_dependent,0.0,2061
Uncapped,2012,India,EB-3,2014,saved,61.60427807486631,2061
Uncapped,2012,India,EB-3,2014,aged_out,13.04812834224599,2061
Uncapped,2012,India,EB-3,2014,exited,25.3475935828877,2061
Uncapped,2012,India,EB-3,2014,still_dependent,0.0,2061
Uncapped,2012,India,EB-4,2014,saved,94.1919191919192,2061
Uncapped,2012,India,EB-4,2014,aged_out,0.7575757575757576,2061
Uncapped,2012,India,EB-4,2014,exited,5.05050505050505,2061
Uncapped,2012,India,EB-4,2014,still_dependent,0.0,2061
Uncapped,2012,India,EB-5,2014,saved,100.0,2061
Uncapped,2012,India,EB-5,2014,aged_out,0.0,2061
Uncapped,2012,India,EB-5,2014,exited,0.0,2061
Uncapped,2012,India,EB-5,2014,still_dependent,0.0,2061
Uncapped,2012,ROW,EB-1,2014,saved,100.0,2061
Uncapped,2012,ROW,EB-1,2014,aged_out,0.0,2061
Uncapped,2012,ROW,EB-1,2014,exited,0.0,2061
Uncapped,2012,ROW,EB-1,2014,still_dependent,0.0,2061
Uncapped,2012,ROW,EB-2,2014,saved,99.39448306795245,2061
Uncapped,2012,ROW,EB-2,2014,aged_out,0.0,2061
Uncapped,2012,ROW,EB-2,2014,exited,0.6055169320475443,2061
Uncapped,2012,ROW,EB-2,2014,still_dependent,0.0,2061
Uncapped,2012,ROW,EB-3,2014,saved,90.13578274760384,2061
Uncapped,2012,ROW,EB-3,2014,aged_out,0.039936102236421724,2061
Uncapped,2012,ROW,EB-3,2014,exited,9.824281150159745,2061
Uncapped,2012,ROW,EB-3,2014,still_dependent,0.0,2061
Uncapped,2012,ROW,EB-4,2014,saved,88.66494401378122,2061
Uncapped,2012,ROW,EB-4,2014,aged_out,0.5340223944875108,2061
Uncapped,2012,ROW,EB-4,2014,exited,10.801033591731267,2061
Uncapped,2012,ROW,EB-4,2014,still_dependent,0.0,2061
Uncapped,2012,ROW,EB-5,2014,saved,100.0,2061
Uncapped,2012,ROW,EB-5,2014,aged_out,0.0,2061
Uncapped,2012,ROW,EB-5,2014,exited,0.0,2061
Uncapped,2012,ROW,EB-5,2014,still_dependent,0.0,2061
Uncapped,2013,China,EB-1,2014,saved,100.0,2061
Uncapped,2013,China,EB-1,2014,aged_out,0.0,2061
Uncapped,2013,China,EB-1,2014,exited,0.0,2061
Uncapped,2013,China,EB-1,2014,still_dependent,0.0,2061
Uncapped,2013,China,EB-2,2014,saved,86.38360175695462,2061
Uncapped,2013,China,EB-2,2014,aged_out,1.4641288433382138,2061
Uncapped,2013,China,EB-2,2014,exited,12.152269399707174,2061
Uncapped,2013,China,EB-2,2014,still_dependent,0.0,2061
Uncapped,2013,China,EB-3,2014,saved,49.12280701754386,2061
Uncapped,2013,China,EB-3,2014,aged_out,13.157894736842104,2061
Uncapped,2013,China,EB-3,2014,exited,37.719298245614034,2061
Uncapped,2013,China,EB-3,2014,still_dependent,0.0,2061
Uncapped,2013,China,EB-4,2014,saved,90.625,2061
Uncapped,2013,China,EB-4,2014,aged_out,0.0,2061
Uncapped,2013,China,EB-4,2014,exited,9.375,2061
Uncapped,2013,China,EB-4,2014,still_dependent,0.0,2061
Uncapped,2013,China,EB-5,2014,saved,100.0,2061
Uncapped,2013,China,EB-5,2014,aged_out,0.0,2061
Uncapped,2013,China,EB-5,2014,exited,0.0,2061
Uncapped,2013,China,EB-5,2014,still_dependent,0.0,2061
Uncapped,2013,India,EB-1,2014,saved,100.0,2061
Uncapped,2013,India,EB-1,2014,aged_out,0.0,2061
Uncapped,2013,India,EB-1,2014,exited,0.0,2061
Uncapped,2013,India,EB-1,2014,still_dependent,0.0,2061
Uncapped,2013,India,EB-2,2014,saved,75.88842565018861,2061
Uncapped,2013,India,EB-2,2014,aged_out,8.457415128052412,2061
Uncapped,2013,India,EB-2,2014,exited,15.654159221758983,2061
Uncapped,2013,India,EB-2,2014,still_dependent,0.0,2061
Uncapped,2013,India,EB-3,2014,saved,60.42314872433105,2061
Uncapped,2013,India,EB-3,2014,aged_out,13.4411947728687,2061
Uncapped,2013,India,EB-3,2014,exited,26.13565650280025,2061
Uncapped,2013,India,EB-3,2014,still_dependent,0.0,2061
Uncapped,2013,India,EB-4,2014,saved,86.78977272727273,2061
Uncapped,2013,India,EB-4,2014,aged_out,1.7045454545454546,2061
Uncapped,2013,India,EB-4,2014,exited,11.505681818181818,2061
Uncapped,2013,India,EB-4,2014,still_dependent,0.0,2061
Uncapped,2013,India,EB-5,2014,saved,100.0,2061
Uncapped,2013,India,EB-5,2014,aged_out,0.0,2061
Uncapped,2013,India,EB-5,2014,exited,0.0,2061
Uncapped,2013,India,EB-5,2014,still_dependent,0.0,2061
Uncapped,2013,ROW,EB-1,2014,saved,100.0,2061
Uncapped,2013,ROW,EB-1,2014,aged_out,0.0,2061
Uncapped,2013,ROW,EB-1,2014,exited,0.0,2061
Uncapped,2013,ROW,EB-1,2014,still_dependent,0.0,2061
Uncapped,2013,ROW,EB-2,2014,saved,100.0,2061
Uncapped,2013,ROW,EB-2,2014,aged_out,0.0,2061
Uncapped,2013,ROW,EB-2,2014,exited,0.0,2061
Uncapped,2013,ROW,EB-2,2014,still_dependent,0.0,2061
Uncapped,2013,ROW,EB-3,2014,saved,93.17984361424848,2061
Uncapped,2013,ROW,EB-3,2014,aged_out,0.0,2061
Uncapped,2013,ROW,EB-3,2014,exited,6.82015638575152,2061
Uncapped,2013,ROW,EB-3,2014,still_dependent,0.0,2061
Uncapped,2013,ROW,EB-4,2014,saved,77.28792122142922,2061
Uncapped,2013,ROW,EB-4,2014,aged_out,3.0806757611347004,2061
Uncapped,2013,ROW,EB-4,2014,exited,19.63140301743608,2061
Uncapped,2013,ROW,EB-4,2014,still_dependent,0.0,2061
Uncapped,2013,ROW,EB-5,2014,saved,100.0,2061
Uncapped,2013,ROW,EB-5,2014,aged_out,0.0,2061
Uncapped,2013,ROW,EB-5,2014,exited,0.0,2061
Uncapped,2013,ROW,EB-5,2014,still_dependent,0.0,2061
Uncapped,2014,China,EB-1,2014,saved,100.0,2061
Uncapped,2014,China,EB-1,2014,aged_out,0.0,2061
Uncapped,2014,China,EB-1,2014,exited,0.0,2061
Uncapped,2014,China,EB-1,2014,still_dependent,0.0,2061
Uncapped,2014,China,EB-2,2014,saved,82.81829419035847,2061
Uncapped,2014,China,EB-2,2014,aged_out,2.8430160692212607,2061
Uncapped,2014,China,EB-2,2014,exited,14.338689740420271,2061
Uncapped,2014,China,EB-2,2014,still_dependent,0.0,2061
Uncapped,2014,China,EB-3,2014,saved,52.53731343283582,2061
Uncapped,2014,China,EB-3,2014,aged_out,14.402985074626866,2061
Uncapped,2014,China,EB-3,2014,exited,33.059701492537314,2061
Uncapped,2014,China,EB-3,2014,still_dependent,0.0,2061
Uncapped,2014,China,EB-4,2014,saved,96.7741935483871,2061
Uncapped,2014,China,EB-4,2014,aged_out,0.0,2061
Uncapped,2014,China,EB-4,2014,exited,3.225806451612903,2061
Uncapped,2014,China,EB-4,2014,still_dependent,0.0,2061
Uncapped,2014,China,EB-5,2014,saved,99.90978800180424,2061
Uncapped,2014,China,EB-5,2014,aged_out,0.0,2061
Uncapped,2014,China,EB-5,2014,exited,0.09021199819576003,2061
Uncapped,2014,China,EB-5,2014,still_dependent,0.0,2061
Uncapped,2014,India,EB-1,2014,saved,100.0,2061
Uncapped,2014,India,EB-1,2014,aged_out,0.0,2061
Uncapped,2014,India,EB-1,2014,exited,0.0,2061
Uncapped,2014,India,EB-1,2014,still_dependent,0.0,2061
Uncapped,2014,India,EB-2,2014,saved,73.66918555835433,2061
Uncapped,2014,India,EB-2,2014,aged_out,10.041981528127623,2061
Uncapped,2014,India,EB-2,2014,exited,16.288832913518053,2061
Uncapped,2014,India,EB-2,2014,still_dependent,0.0,2061
Uncapped,2014,India,EB-3,2014,saved,65.19634211941904,2061
Uncapped,2014,India,EB-3,2014,aged_out,10.48951048951049,2061
Uncapped,2014,India,EB-3,2014,exited,24.314147391070467,2061
Uncapped,2014,India,EB-3,2014,still_dependent,0.0,2061
Uncapped,2014,India,EB-4,2014,saved,80.49713193116635,2061
Uncapped,2014,India,EB-4,2014,aged_out,5.162523900573614,2061
Uncapped,2014,India,EB-4,2014,exited,14.340344168260039,2061
Uncapped,2014,India,EB-4,2014,still_dependent,0.0,2061
Uncapped,2014,India,EB-5,2014,saved,100.0,2061
Uncapped,2014,India,EB-5,2014,aged_out,0.0,2061
Uncapped,2014,India,EB-5,2014,exited,0.0,2061
Uncapped,2014,India,EB-5,2014,still_dependent,0.0,2061
Uncapped,2014,ROW,EB-1,2014,saved,100.0,2061
Uncapped,2014,ROW,EB-1,2014,aged_out,0.0,2061
Uncapped,2014,ROW,EB-1,2014,exited,0.0,2061
