metric,period,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
ageouts,full,category,EB-1,Capped,50,0.8677339137316582,0.022060321032681216,0.0031198005194722216,0.8614644398629439,0.8740033876003725,0.8221721299161837,0.9028529271630702
ageouts,historical,category,EB-2,Capped,50,27.077734080274155,0.3169363590935298,0.04482156974392192,26.987661763627507,27.167806396920803,26.465021484714534,27.610317643566102
ageouts,projection,category,EB-2,Capped,50,56.18859339420673,0.10478322048364291,0.01481858515170981,56.15881433243656,56.21837245597689,55.99419860036905,56.336547928895186
ageouts,full,category,EB-2,Capped,50,53.85290421969339,0.09748565013154707,0.013786552855279237,53.82519910447005,53.880609334916734,53.66865796927373,54.00793907839842
ageouts,historical,category,EB-3,Capped,50,41.308093194028935,0.32240249224496786,0.045594597707572015,41.216467419528925,41.399718968528944,40.81429232769937,41.85332009451902
ageouts,projection,category,EB-3,Capped,50,23.834854839591085,0.08159034561947227,0.011538617333376593,23.811667119927222,23.858042559254947,23.703853449542454,23.98910005959156
ageouts,full,category,EB-3,Capped,50,25.23676934604413,0.07528311868571286,0.01064664074630785,25.21537412044174,25.25816457164652,25.09843668889802,25.364479452152207
ageouts,historical,category,EB-4,Capped,50,30.693035288843934,0.33634963729875034,0.047567021876716416,30.5974457795765,30.788624798111368,30.087356761612543,31.267049305860912
ageouts,projection,category,EB-4,Capped,50,18.6131197346683,0.09568277667052871,0.013531588045297768,18.585926990413434,18.640312478923164,18.453224562764554,18.80357307596566
ageouts,full,category,EB-4,Capped,50,19.582381880732775,0.09702924580546243,0.01372200753649177,19.554806474183742,19.60995728728181,19.425469007739142,19.79095816013335
ageouts,historical,category,EB-5,Capped,50,0.9121082259916722,0.06345319978887277,0.008973637571739348,0.8940750261405322,0.9301414258428121,0.7908304390877167,1.0277550330148921
ageouts,projection,category,EB-5,Capped,50,0.42079013478435223,0.018488920741948595,0.002614728246690493,0.4155356416479807,0.4260446279207238,0.38821931613458094,0.4586809974869538
ageouts,full,category,EB-5,Capped,50,0.46021063979804194,0.01711892367227401,0.002420981403055973,0.45534549552091025,0.46507578407517364,0.43111968462014033,0.4959745482735613
exits,historical,overall,All,Capped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
exits,projection,overall,All,Capped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
exits,full,overall,All,Capped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
exits,historical,nationality,India,Capped,50,40.236756491518214,0.10307891396583736,0.014577559812517663,40.20746178830121,40.26605119473522,40.078857945215326,40.43481573659964
exits,projection,nationality,India,Capped,50,30.6304264905598,0.04807716756172672,0.006799138240627774,30.616763110717613,30.644089870401984,30.552381481383577,30.70705943940508
exits,full,nationality,India,Capped,50,32.35665394360502,0.04686992009803425,0.0066284076669983335,32.34333365969582,32.36997422751421,32.28140496474675,32.443594831128024
exits,historical,nationality,China,Capped,50,13.528646123682059,0.06987713484562937,0.009882119179846263,13.50878726168788,13.548504985676237,13.423680731981795,13.649398092188331
exits,projection,nationality,China,Capped,50,9.56380186885798,0.02775039782980365,0.003924498897215722,9.555915293055993,9.571688444659966,9.510927651763431,9.618236900917427
exits,full,nationality,China,Capped,50,10.276281035565791,0.024130261244931978,0.0034125342716188685,10.269423291197691,10.283138779933891,10.227417426413238,10.319367160386529
exits,historical,nationality,ROW,Capped,50,46.23459738479973,0.09688627462069531,0.01370178835763915,46.20706261021183,46.262132159387626,46.026159722450785,46.3795096647127
exits,projection,nationality,ROW,Capped,50,59.80577164058222,0.05142163836833075,0.007272117837993806,59.791157772653506,59.82038550851094,59.715017096915204,59.90848421391294
exits,full,nationality,ROW,Capped,50,57.36706502082919,0.04755437326136682,0.0067252039616377424,57.35355021748324,57.380579824175136,57.274835671989756,57.45381566448729
exits,historical,category,EB-1,Capped,50,0.9803384979722607,0.021556059876673524,0.0030484872228918204,0.9742123335384324,0.986464662406089,0.940147112096535,1.0126378648976797
exits,projection,category,EB-1,Capped,50,1.4438966026591333,0.011653880427275182,0.0016481075754526922,1.4405846064873784,1.4472085988308883,1.4214606805881715,1.4624859254642204
exits,full,category,EB-1,Capped,50,1.3605962304835282,0.010620669511353688,0.0015019894864438817,1.3575778696051422,1.3636145913619142,1.3415507236756468,1.3816007980543892
exits,historical,category,EB-2,Capped,50,28.620260792387306,0.0821997647586651,0.011624802214558217,28.596899877720404,28.64362170705421,28.491379194915748,28.784221494772837
exits,projection,category,EB-2,Capped,50,28.290587203599326,0.04294087267265001,0.0060727564513797854,28.278383542613515,28.302790864585138,28.202053689601964,28.359462877658785
exits,full,category,EB-2,Capped,50,28.349832332601494,0.038856034184006565,0.005495073052305468,28.338789569869366,28.360875095333622,28.278647995465526,28.413777007090392
exits,historical,category,EB-3,Capped,50,35.3970114632107,0.09239404574547053,0.013066491257576458,35.37075336594331,35.4232695604781,35.2002020158869,35.56167857903827
exits,projection,category,EB-3,Capped,50,22.400104761472853,0.03599200344742976,0.005090037941233436,22.389875947270102,22.410333575675605,22.338345154750975,22.46624100076775
exits,full,category,EB-3,Capped,50,24.735613973922046,0.029203240324033593,0.004129961853148917,24.72731450485167,24.743913442992422,24.692857740686566,24.796306678375213
exits,historical,category,EB-4,Capped,50,34.1931904053407,0.09240642540927736,0.013068242006421782,34.166928789811784,34.21945202086962,34.03765200265779,34.36489843293549
exits,projection,category,EB-4,Capped,50,47.51696040011457,0.044307312109824554,0.006266000169801156,47.50436840133749,47.52955239889165,47.44061040984952,47.59560137519909
exits,full,category,EB-4,Capped,50,45.12271093305629,0.04128350976393306,0.005838369941051622,45.11097828939755,45.13444357671503,45.05034487762803,45.19551854226536
exits,historical,category,EB-5,Capped,50,0.8091988410890152,0.017137824358015,0.0024236543636672794,0.8043283252964292,0.8140693568816012,0.7784233611552017,0.838976229749929
exits,projection,category,EB-5,Capped,50,0.348451032154125,0.005263141786374086,0.0007443206494982792,0.3469552638084093,0.34994680049984067,0.3387069395046935,0.35840949287693763
exits,full,category,EB-5,Capped,50,0.4312465299366523,0.005075578888225911,0.0007177952500623638,0.42980406637679797,0.43268899349650664,0.41984361542424703,0.44070125843737473
