seed,metric,period,dimension,group,scenario,value
2015,ageouts,full,category,EB-1,Capped,0.8650369967018311
2015,ageouts,historical,category,EB-2,Capped,27.47571973638571
2015,ageouts,projection,category,EB-2,Capped,56.191945248355466
2015,ageouts,full,category,EB-2,Capped,53.90938134346104
2015,ageouts,historical,category,EB-3,Capped,41.111689212625734
2015,ageouts,projection,category,EB-3,Capped,23.83703298801559
2015,ageouts,full,category,EB-3,Capped,25.210141955672885
2015,ageouts,historical,category,EB-4,Capped,30.549774540409295
2015,ageouts,projection,category,EB-4,Capped,18.610092962481794
2015,ageouts,full,category,EB-4,Capped,19.559141304310366
2015,ageouts,historical,category,EB-5,Capped,0.8541449878598681
2015,ageouts,projection,category,EB-5,Capped,0.42194408772842823
2015,ageouts,full,category,EB-5,Capped,0.4562983998538742
2015,exits,historical,overall,All,Capped,100.0
2015,exits,projection,overall,All,Capped,100.0
2015,exits,full,overall,All,Capped,100.0
2015,exits,historical,nationality,India,Capped,40.252818813183886
2015,exits,projection,nationality,India,Capped,30.65787945597814
2015,exits,full,nationality,India,Capped,32.38569096766889
2015,exits,historical,nationality,China,Capped,13.450360574921307
2015,exits,projection,nationality,China,Capped,9.53126443109151
2015,exits,full,nationality,China,Capped,10.236996815699717
2015,exits,historical,nationality,ROW,Capped,46.29682061189481
2015,exits,projection,nationality,ROW,Capped,59.81085611293035
2015,exits,full,nationality,ROW,Capped,57.37731221663139
2015,exits,historical,category,EB-1,Capped,0.966390753293473
2015,exits,projection,category,EB-1,Capped,1.4487558513075198
2015,exits,full,category,EB-1,Capped,1.3618938151696256
2015,exits,historical,category,EB-2,Capped,28.547041287077594
2015,exits,projection,category,EB-2,Capped,28.285167969903775
2015,exits,full,category,EB-2,Capped,28.332324884103315
2015,exits,historical,category,EB-3,Capped,35.3654880668854
2015,exits,projection,category,EB-3,Capped,22.43216872615012
2015,exits,full,category,EB-3,Capped,24.761139989997982
2015,exits,historical,category,EB-4,Capped,34.326232866445714
2015,exits,projection,category,EB-4,Capped,47.484406419772505
2015,exits,full,category,EB-4,Capped,45.11494446781248
2015,exits,historical,category,EB-5,Capped,0.7948470262978199
2015,exits,projection,category,EB-5,Capped,0.3495010328660822
2015,exits,full,category,EB-5,Capped,0.4296968429166001
2016,ageouts,historical,overall,All,Uncapped,100.0
2016,ageouts,projection,overall,All,Uncapped,100.0
2016,ageouts,full,overall,All,Uncapped,100.0
2016,ageouts,historical,nationality,India,Uncapped,61.465973051338906
2016,ageouts,projection,nationality,India,Uncapped,36.73816427059402
2016,ageouts,full,nationality,India,Uncapped,39.340951320880045
2016,ageouts,historical,nationality,China,Uncapped,9.001364489169367
2016,ageouts,projection,nationality,China,Uncapped,7.3055970785637605
2016,ageouts,full,nationality,China,Uncapped,7.484089297415689
2016,ageouts,historical,nationality,ROW,Uncapped,29.53266245949173
2016,ageouts,projection,nationality,ROW,Uncapped,55.956238650842224
2016,ageouts,full,nationality,ROW,Uncapped,53.17495938170426
2016,ageouts,historical,category,EB-1,Uncapped,0.008528057308545113
2016,ageouts,projection,category,EB-1,Uncapped,0.36116656801468744
2016,ageouts,full,category,EB-1,Uncapped,0.32404872400204665
2016,ageouts,historical,category,EB-2,Uncapped,26.93586900903974
2016,ageouts,projection,category,EB-2,Uncapped,54.49802863248292
2016,ageouts,full,category,EB-2,Uncapped,51.59690493074693
2016,ageouts,historical,category,EB-3,Uncapped,41.471942691454885
2016,ageouts,projection,category,EB-3,Uncapped,20.047754246215277
2016,ageouts,full,category,EB-3,Uncapped,22.30281051677244
2016,ageouts,historical,category,EB-4,Uncapped,30.645573938256867
2016,ageouts,projection,category,EB-4,Uncapped,24.809133501208905
2016,ageouts,full,category,EB-4,Uncapped,25.42346256384478
2016,ageouts,historical,category,EB-5,Uncapped,0.9380863039399625
2016,ageouts,projection,category,EB-5,Uncapped,0.2839170520782126
2016,ageouts,full,category,EB-5,Uncapped,0.352773264633807
2016,exits,historical,overall,All,Uncapped,100.0
2016,exits,projection,overall,All,Uncapped,100.0
2016,exits,full,overall,All,Uncapped,100.0
2016,exits,historical,nationality,India,Uncapped,40.09791778742499
2016,exits,projection,nationality,India,Uncapped,17.47662688879629
2016,exits,full,nationality,India,Uncapped,21.60952380952381
2016,exits,historical,nationality,China,Uncapped,13.58088017581831
2016,exits,projection,nationality,China,Uncapped,8.863091226215547
2016,exits,full,nationality,China,Uncapped,9.725028571428572
2016,exits,historical,nationality,ROW,Uncapped,46.3212020367567
2016,exits,projection,nationality,ROW,Uncapped,73.66028188498817
2016,exits,full,nationality,ROW,Uncapped,68.66544761904763
2016,exits,historical,category,EB-1,Uncapped,0.986684348583987
2016,exits,projection,category,EB-1,Uncapped,1.5396562155369546
2016,exits,full,category,EB-1,Uncapped,1.4386285714285714
2016,exits,historical,category,EB-2,Uncapped,28.592994791340864
2016,exits,projection,category,EB-2,Uncapped,26.381108727732737
2016,exits,full,category,EB-2,Uncapped,26.785219047619048
2016,exits,historical,category,EB-3,Uncapped,35.3846859583057
2016,exits,projection,category,EB-3,Uncapped,23.325847598645296
2016,exits,full,category,EB-3,Uncapped,25.528990476190476
2016,exits,historical,category,EB-4,Uncapped,34.227020805444695
2016,exits,projection,category,EB-4,Uncapped,48.43857642394428
2016,exits,full,category,EB-4,Uncapped,45.84213333333334
2016,exits,historical,category,EB-5,Uncapped,0.8086140963247468
2016,exits,projection,category,EB-5,Uncapped,0.31481103414073
2016,exits,full,category,EB-5,Uncapped,0.4050285714285714
2016,ageouts,historical,overall,All,Capped,100.0
2016,ageouts,projection,overall,All,Capped,100.0
2016,ageouts,full,overall,All,Capped,100.0
2016,ageouts,historical,nationality,India,Capped,61.465973051338906
2016,ageouts,projection,nationality,India,Capped,72.61554420503106
2016,ageouts,full,nationality,India,Capped,71.71239193282652
2016,ageouts,historical,nationality,China,Capped,9.001364489169367
2016,ageouts,projection,nationality,China,Capped,6.964035374548516
2016,ageouts,full,nationality,China,Capped,7.129065795336403
2016,ageouts,historical,nationality,ROW,Capped,29.53266245949173
2016,ageouts,projection,nationality,ROW,Capped,20.42042042042042
2016,ageouts,full,nationality,ROW,Capped,21.15854227183708
2016,ageouts,historical,category,EB-1,Capped,0.008528057308545113
2016,ageouts,projection,category,EB-1,Capped,0.9490090841780454
2016,ageouts,full,category,EB-1,Capped,0.872826999264297
