annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,seed
0,162,EB-4,China,0,Capped,2020,2014
7938,9555,EB-4,ROW,151766,Capped,2020,2014
14,731,EB-5,India,1921,Capped,2020,2014
249,1260,EB-5,China,24382,Capped,2020,2014
0,1605,EB-5,ROW,0,Capped,2020,2014
96,30825,EB-1,India,11260,Capped,2021,2014
109,9118,EB-1,China,7996,Capped,2021,2014
0,18777,EB-1,ROW,0,Capped,2021,2014
5459,28246,EB-2,India,315675,Capped,2021,2014
1320,6091,EB-2,China,50901,Capped,2021,2014
749,25404,EB-2,ROW,28325,Capped,2021,2014
3428,21129,EB-3,India,155472,Capped,2021,2014
1454,3914,EB-3,China,36954,Capped,2021,2014
1597,35173,EB-3,ROW,41640,Capped,2021,2014
196,972,EB-4,India,4509,Capped,2021,2014
0,67,EB-4,China,0,Capped,2021,2014
8572,12842,EB-4,ROW,165093,Capped,2021,2014
16,972,EB-5,India,1881,Capped,2021,2014
310,972,EB-5,China,25106,Capped,2021,2014
2,1005,EB-5,ROW,244,Capped,2021,2014
96,20098,EB-1,India,10883,Capped,2022,2014
89,11425,EB-1,China,6767,Capped,2022,2014
0,22614,EB-1,ROW,0,Capped,2022,2014
5544,59432,EB-2,India,329116,Capped,2022,2014
1357,8523,EB-2,China,54852,Capped,2022,2014
771,41355,EB-2,ROW,32380,Capped,2022,2014
3715,13919,EB-3,India,161919,Capped,2022,2014
1387,5510,EB-3,China,36551,Capped,2022,2014
1684,61946,EB-3,ROW,43001,Capped,2022,2014
210,1368,EB-4,India,5197,Capped,2022,2014
0,181,EB-4,China,0,Capped,2022,2014
9415,17994,EB-4,ROW,184598,Capped,2022,2014
12,1368,EB-5,India,1448,Capped,2022,2014
245,8420,EB-5,China,21702,Capped,2022,2014
0,1097,EB-5,ROW,0,Capped,2022,2014
136,15467,EB-1,India,15242,Capped,2023,2014
119,9037,EB-1,China,9326,Capped,2023,2014
0,30960,EB-1,ROW,0,Capped,2023,2014
6177,3882,EB-2,India,360322,Capped,2023,2014
1595,3882,EB-2,China,63414,Capped,2023,2014
1071,47699,EB-2,ROW,40171,Capped,2023,2014
3995,3882,EB-3,India,168744,Capped,2023,2014
1371,3882,EB-3,China,36405,Capped,2023,2014
2389,47699,EB-3,ROW,59243,Capped,2023,2014
237,964,EB-4,India,6276,Capped,2023,2014
0,185,EB-4,China,0,Capped,2023,2014
12127,12620,EB-4,ROW,231861,Capped,2023,2014
8,964,EB-5,India,1466,Capped,2023,2014
268,11292,EB-5,China,17965,Capped,2023,2014
0,1513,EB-5,ROW,0,Capped,2023,2014
171,12503,EB-1,India,18661,Capped,2024,2014
153,5672,EB-1,China,12800,Capped,2024,2014
0,29700,EB-1,ROW,0,Capped,2024,2014
6423,3351,EB-2,India,391142,Capped,2024,2014
1857,3351,EB-2,China,71764,Capped,2024,2014
1134,41173,EB-2,ROW,44505,Capped,2024,2014
4150,3351,EB-3,India,173239,Capped,2024,2014
1468,3351,EB-3,China,40454,Capped,2024,2014
2948,41172,EB-3,ROW,74229,Capped,2024,2014
287,832,EB-4,India,7289,Capped,2024,2014
0,308,EB-4,China,0,Capped,2024,2014
15032,10745,EB-4,ROW,294666,Capped,2024,2014
19,832,EB-5,India,2152,Capped,2024,2014
256,7213,EB-5,China,17601,Capped,2024,2014
0,3840,EB-5,ROW,0,Capped,2024,2014
0,5356,EB-1,India,0,Uncapped,2009,2015
0,4574,EB-1,China,0,Uncapped,2009,2015
0,29176,EB-1,ROW,0,Uncapped,2009,2015
228,9563,EB-2,India,11845,Uncapped,2009,2015
233,5756,EB-2,China,8968,Uncapped,2009,2015
0,32992,EB-2,ROW,0,Uncapped,2009,2015
2261,2304,EB-3,India,81850,Uncapped,2009,2015
1149,1077,EB-3,China,29750,Uncapped,2009,2015
2766,36941,EB-3,ROW,74467,Uncapped,2009,2015
0,517,EB-4,India,0,Uncapped,2009,2015
0,30,EB-4,China,0,Uncapped,2009,2015
2,9463,EB-4,ROW,45,Uncapped,2009,2015
0,58,EB-5,India,0,Uncapped,2009,2015
0,1449,EB-5,China,0,Uncapped,2009,2015
0,1731,EB-5,ROW,0,Uncapped,2009,2015
0,6376,EB-1,India,0,Uncapped,2010,2015
0,5474,EB-1,China,0,Uncapped,2010,2015
0,28227,EB-1,ROW,0,Uncapped,2010,2015
420,10126,EB-2,India,22411,Uncapped,2010,2015
243,5973,EB-2,China,8877,Uncapped,2010,2015
11,36959,EB-2,ROW,384,Uncapped,2010,2015
2376,3008,EB-3,India,84869,Uncapped,2010,2015
1050,3008,EB-3,China,27849,Uncapped,2010,2015
2645,36959,EB-3,ROW,67003,Uncapped,2010,2015
0,545,EB-4,India,0,Uncapped,2010,2015
0,38,EB-4,China,0,Uncapped,2010,2015
59,10086,EB-4,ROW,1195,Uncapped,2010,2015
0,96,EB-5,India,0,Uncapped,2010,2015
0,1436,EB-5,China,0,Uncapped,2010,2015
0,1951,EB-5,ROW,0,Uncapped,2010,2015
0,7573,EB-1,India,0,Uncapped,2011,2015
0,4994,EB-1,China,0,Uncapped,2011,2015
0,20152,EB-1,ROW,0,Uncapped,2011,2015
696,14026,EB-2,India,37933,Uncapped,2011,2015
192,8107,EB-2,China,7978,Uncapped,2011,2015
70,34262,EB-2,ROW,2862,Uncapped,2011,2015
2380,2789,EB-3,India,88240,Uncapped,2011,2015
1019,2789,EB-3,China,25897,Uncapped,2011,2015
2223,34262,EB-3,ROW,58132,Uncapped,2011,2015
5,174,EB-4,India,187,Uncapped,2011,2015
0,10,EB-4,China,11,Uncapped,2011,2015
273,6197,EB-4,ROW,4972,Uncapped,2011,2015
0,42,EB-5,India,0,Uncapped,2011,2015
0,2658,EB-5,China,0,Uncapped,2011,2015
