year,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
2039,category,EB-2,Uncapped,50,12276.58,90.93260343433998,12.859812103873788,12250.73724004192,12302.422759958079,12130.8,12419.325
2040,category,EB-2,Uncapped,50,13200.18,97.78082321066387,13.828296632452677,13172.390997515746,13227.969002484255,13036.9,13390.925
2009,category,EB-3,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,category,EB-3,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,category,EB-3,Uncapped,50,34.56,6.299206299209449,0.8908422980528035,32.76978537764578,36.35021462235422,24.0,45.55
2012,category,EB-3,Uncapped,50,156.24,14.37906641685781,2.033507074098382,152.15351453936478,160.32648546063524,133.675,183.0
2013,category,EB-3,Uncapped,50,251.2,17.863427465532098,2.5262701392223534,246.1232700859197,256.27672991408025,224.225,288.325
2014,category,EB-3,Uncapped,50,236.84,17.92997717881016,2.5356816899313412,231.74435686667195,241.93564313332806,205.675,266.325
2015,category,EB-3,Uncapped,50,206.0,12.825357535693394,1.8137794569261574,202.35507371774747,209.64492628225253,186.0,229.0
2016,category,EB-3,Uncapped,50,482.26,21.67553873821448,3.065384085532632,476.0998800494236,488.4201199505764,443.675,524.55
2017,category,EB-3,Uncapped,50,550.46,23.89877462489298,3.379797119862163,543.6680434014044,557.2519565985957,511.675,595.425
2018,category,EB-3,Uncapped,50,552.48,28.8028059857553,4.073331885945611,544.2943331093948,560.6656668906053,496.225,612.2
2019,category,EB-3,Uncapped,50,983.82,33.65896793499438,4.7600968949150175,974.254227153643,993.3857728463571,924.675,1039.325
2020,category,EB-3,Uncapped,50,959.1,32.488145404697,4.594517584767164,949.8669712350971,968.3330287649029,902.675,1024.425
2021,category,EB-3,Uncapped,50,1065.54,34.76992014570605,4.9172092632687,1055.6584980287528,1075.4215019712472,992.8,1125.975
