category,year,marital_group,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-3,2016,Unmarried,257,3,3,32548.0,638.0,1.9601818852156814,1.9601818852156814,171.71560662385065,2.1624131409507212
EB-3,2017,Married,1012,439,629,113940.0,69406.0,43.73617693522907,60.914516412146746,675.1144316959521,287.2461049053607
EB-3,2017,Unmarried,238,11,18,28386.0,3196.0,6.696963291763545,11.259071373212146,155.4437972375407,6.4669004947970254
EB-3,2018,Married,1012,437,654,123239.0,73209.0,41.74814790772402,59.40408474590024,680.2070361721148,301.9662408655042
EB-3,2018,Unmarried,269,5,8,34265.0,649.0,1.2374142711221363,1.8940609951845906,181.3674308280857,4.427980295566503
EB-3,2019,Married,937,407,602,111454.0,68390.0,41.959014481310675,61.361637985177744,586.0597224485513,257.8262139982172
EB-3,2019,Unmarried,284,8,10,37604.0,1048.0,2.308265078183172,2.78693755983406,185.63094689240378,6.731086731229675
EB-3,2021,Married,813,366,538,94296.0,60738.0,43.68159837108679,64.41206413845762,519.2790482544417,233.84016598828026
EB-3,2021,Unmarried,242,6,7,30483.0,823.0,2.3324475937407736,2.699865498802611,132.7256620369041,4.613807076948351
EB-3,2022,Married,765,350,522,90008.0,58163.0,44.04608479246289,64.61981157230468,482.0702381205982,234.88097737680982
EB-3,2022,Unmarried,275,10,20,34211.0,2313.0,3.0370348718248517,6.760983309461869,185.03161809634702,8.379227371869009
EB-3,2023,Married,827,378,577,93959.0,62700.0,44.7418554901606,66.73123383603486,487.19350507896684,226.7203339026323
EB-3,2023,Unmarried,292,8,11,38649.0,935.0,1.971590468058682,2.419208776423711,172.46915791251783,6.393067911565225
EB-3,2024,Married,866,364,554,113506.0,70292.0,41.63480344651384,61.928003805966206,536.1701002173877,221.25313890931918
EB-3,2024,Unmarried,333,14,19,49550.0,2233.0,3.8405650857719476,4.506559031281534,190.11791294231486,4.6322906207028876
EB-5,2014,Married,223,148,283,23327.0,29287.0,65.11338791957817,125.54979208642345,142.51007550704904,88.52130156468168
EB-5,2014,Unmarried,45,3,4,5227.0,668.0,10.637076717046106,12.779797206810791,30.71826228914701,1.8008202069158357
EB-5,2015,Married,250,168,313,26980.0,33037.0,68.72127501853224,122.44996293550778,157.3879223560262,108.53774871948202
EB-5,2015,Unmarried,46,4,5,6436.0,1391.0,17.153511497824734,21.612802983219392,33.39301313564036,3.6778013144315898
EB-5,2016,Married,296,185,318,32559.0,34151.0,61.073743051076505,104.88958506096624,197.51315933379527,120.55806853774418
EB-5,2016,Unmarried,36,1,1,4652.0,108.0,2.3215821152192606,2.3215821152192606,23.744120777240163,1.0
EB-5,2017,Married,371,229,396,38925.0,41148.0,61.71868978805395,105.71098265895954,268.9564416972089,164.32316355484238
EB-5,2017,Unmarried,61,2,2,7268.0,219.0,3.013208585580627,3.013208585580627,39.9769812223201,1.779959176099462
EB-5,2018,Married,387,236,400,40112.0,40064.0,60.682588751495814,99.88033506182688,256.8590919453106,157.0337150391932
EB-5,2018,Unmarried,52,2,2,6286.0,194.0,3.0862233534839327,3.0862233534839327,41.383329283721395,1.9532904297280465
EB-5,2019,Married,442,249,424,43817.0,42066.0,56.95506310336171,96.00383412830637,285.07971448218046,168.9540873849092
EB-5,2019,Unmarried,69,7,11,8815.0,1118.0,7.918321043675553,12.682926829268293,43.37308425028649,5.784484600954575
EB-5,2021,Married,411,224,379,38522.0,36601.0,54.872540366543795,95.01323918799648,295.62920256418124,162.47146263754885
EB-5,2021,Unmarried,67,3,3,8250.0,540.0,6.545454545454546,6.545454545454546,31.052592198539497,2.3184441935535167
EB-5,2022,Married,372,203,336,38815.0,34146.0,54.53304134999356,87.97114517583408,236.4197100296693,124.51179930796809
EB-5,2022,Unmarried,61,4,5,7944.0,517.0,5.81570996978852,6.508056394763344,36.714871157591965,3.468265574729453
EB-5,2023,Married,390,222,372,39687.0,35845.0,53.75563786630383,90.3192481165117,231.7930288052944,133.9777470851849
EB-5,2023,Unmarried,77,8,14,9413.0,855.0,5.279932008923828,9.083182832253266,51.26395525570195,7.70146228915287
EB-5,2024,Married,429,206,350,44619.0,33603.0,42.86066473923665,75.31096618032677,267.4255551163063,147.35010293993224
EB-5,2024,Unmarried,69,8,13,8179.0,1697.0,12.091942780290989,20.74825773321922,48.24796232253039,5.403953569317297
Other_EB4,2014,Married,25,13,23,2527.0,2357.0,56.826276216857934,93.27265532251681,18.23082413331392,10.162613966783303
Other_EB4,2014,Unmarried,4,0,0,374.0,0.0,0.0,0.0,3.556832629812338,0.0
Other_EB4,2015,Married,17,8,17,1324.0,1499.0,51.81268882175227,113.21752265861028,14.582613759254638,7.153871879845551
Other_EB4,2015,Unmarried,8,1,2,609.0,146.0,11.986863711001641,23.973727422003282,6.000436829587924,1.0
Other_EB4,2016,Married,38,20,39,3468.0,3275.0,46.62629757785467,94.43483275663206,29.73806227004787,18.132504386299487
Other_EB4,2016,Unmarried,13,0,0,1361.0,0.0,0.0,0.0,7.566639842157508,0.0
Other_EB4,2017,Married,26,15,32,3718.0,4994.0,60.43571812802582,134.31952662721895,18.934829835437732,11.082814753353484
Other_EB4,2017,Unmarried,14,0,0,1221.0,0.0,0.0,0.0,9.15643137471671,0.0
Other_EB4,2018,Married,24,13,24,3092.0,2638.0,49.28848641655886,85.31694695989651,14.889276503494761,9.866088951191538
Other_EB4,2018,Unmarried,11,0,0,963.0,0.0,0.0,0.0,8.383906050825852,0.0
Other_EB4,2019,Married,40,23,38,3483.0,3722.0,58.54148722365777,106.86190066035027,29.026180603575128,15.950772500738546
Other_EB4,2019,Unmarried,13,0,0,1415.0,0.0,0.0,0.0,10.734467063043164,0.0
Other_EB4,2021,Married,31,18,33,4087.0,4690.0,58.527036946415464,114.75409836065573,16.063703498542555,8.400203190561623
Other_EB4,2021,Unmarried,14,0,0,2227.0,0.0,0.0,0.0,9.772297634130627,0.0
Other_EB4,2022,Married,29,17,32,3335.0,2755.0,55.472263868065966,82.6086956521739,16.345804803705875,7.669399041801306
Other_EB4,2022,Unmarried,11,0,0,958.0,0.0,0.0,0.0,7.340467735227309,0.0
Other_EB4,2023,Married,28,19,31,2589.0,3414.0,75.97528003089997,131.86558516801853,21.645577345987785,14.941971337099957
Other_EB4,2023,Unmarried,15,0,0,1338.0,0.0,0.0,0.0,8.378703209682401,0.0
Other_EB4,2024,Married,27,15,28,2970.0,4124.0,61.38047138047138,138.85521885521885,17.49241477779761,8.933127790486072
Other_EB4,2024,Unmarried,8,0,0,1155.0,0.0,0.0,0.0,5.3047172924975845,0.0
Unique proxy union (not EB mix),2014,Married,1205,549,850,139019.0,94884.0,44.44860055100382,68.25254101957286,818.3641501694484,363.6107719982897
Unique proxy union (not EB mix),2014,Unmarried,400,12,13,48820.0,1569.0,2.9844326095862352,3.213846784104875,268.96711738419674,7.105128574153968
Unique proxy union (not EB mix),2015,Married,1587,688,1061,182903.0,121498.0,43.41262855174601,66.4275599634779,1095.5785483976347,471.2915037130586
Unique proxy union (not EB mix),2015,Unmarried,496,14,18,63468.0,2305.0,2.83449927522531,3.631751433793408,332.3504936924818,8.41285739166149
