category,nationality,marital_group,children,sample_principals,weight
Unique proxy union (not EB mix),China,Unmarried,1,10,1073.0
Unique proxy union (not EB mix),China,Unmarried,2,3,245.0
Unique proxy union (not EB mix),ROW,Married,0,4848,538818.0
Unique proxy union (not EB mix),ROW,Married,1,1721,179325.0
Unique proxy union (not EB mix),ROW,Married,2,1932,203618.0
Unique proxy union (not EB mix),ROW,Married,3,470,46406.0
Unique proxy union (not EB mix),ROW,Married,4,74,8711.0
Unique proxy union (not EB mix),ROW,Married,5,8,702.0
Unique proxy union (not EB mix),ROW,Married,6,3,277.0
Unique proxy union (not EB mix),ROW,Unmarried,0,3630,448964.0
Unique proxy union (not EB mix),ROW,Unmarried,1,77,10465.0
Unique proxy union (not EB mix),ROW,Unmarried,2,32,3842.0
Unique proxy union (not EB mix),ROW,Unmarried,3,9,1059.0
Unique proxy union (not EB mix),ROW,Unmarried,4,2,218.0
