category,nationality,MARST,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-2,All,5,17,4,10,1335.0,568.0,15.355805243445692,42.546816479400746,13.902453293810211,3.613188891754793
EB-2,All,6,4142,24,29,524942.0,3224.0,0.5114850783515131,0.6141630884935859,2612.860637042272,16.120122356161076
EB-2,India,1,6123,2815,3714,746387.0,455031.0,46.28081678807375,60.9644862517702,4094.8578344904877,1888.2392085604608
EB-2,India,2,379,12,14,53686.0,2414.0,4.233878478560518,4.496516782773908,249.7135321416479,7.044482319014473
EB-2,India,3,28,3,4,3270.0,308.0,7.889908256880734,9.418960244648318,20.473814410881687,2.490794791198922
EB-2,India,4,73,7,7,8397.0,834.0,9.932118613790639,9.932118613790639,48.62647816416958,4.3158809148558595
EB-2,India,5,4,1,2,302.0,98.0,16.225165562913908,32.450331125827816,3.6083241019148597,1.0
EB-2,India,6,1132,1,1,158054.0,89.0,0.05630986877902489,0.05630986877902489,713.8214946417955,1.0
EB-2,China,1,864,303,371,87434.0,35199.0,32.613171077612826,40.25779445067136,569.1970337768403,235.37654795053507
EB-2,China,2,119,18,20,13026.0,2128.0,14.732074312912637,16.336557653922924,83.38379114722775,12.719407439132642
EB-2,China,3,10,1,1,1203.0,137.0,11.388196176226101,11.388196176226101,9.457337036431955,1.0
EB-2,China,4,39,8,9,4900.0,1003.0,18.183673469387756,20.46938775510204,25.618372673166757,7.025184726339543
EB-2,China,6,597,0,0,71627.0,0.0,0.0,0.0,384.6669903948477,0.0
EB-2,ROW,1,6648,3350,5844,697425.0,600768.0,49.30924472165466,86.14087536294225,4459.581211933524,2251.5518339500536
EB-2,ROW,2,580,49,70,71146.0,8427.0,8.0088831417086,11.844657464931268,380.1322849722224,37.04153755584661
EB-2,ROW,3,91,16,27,12367.0,3494.0,16.22058704617126,28.25260774642193,46.60566522825678,9.075899462307387
EB-2,ROW,4,313,36,50,38770.0,5979.0,11.361877740521022,15.421717823059065,194.54140728682103,24.977087632084007
EB-2,ROW,5,13,3,8,1033.0,470.0,15.10164569215876,45.49854791868345,10.36824104392775,2.636619718309859
EB-2,ROW,6,2413,23,28,295261.0,3135.0,0.8792221119619591,1.0617724657167726,1525.9510866130126,15.340875669818665
EB-3,All,1,7862,3618,5340,924358.0,607305.0,45.32886608867992,65.7001940806484,5099.577522254967,2348.3907398368656
EB-3,All,2,703,57,73,95554.0,11508.0,9.436548967076208,12.043451870146724,463.1496724624246,40.415119652804805
EB-3,All,3,79,15,20,9923.0,1752.0,13.685377406026403,17.655950821324197,50.162705158765135,8.383401976561293
EB-3,All,4,235,35,48,29739.0,6658.0,15.27287400383335,22.38810988937086,148.2268038662639,22.731470279061465
EB-3,All,5,17,3,8,2036.0,647.0,11.100196463654225,31.777996070726914,10.468077799158573,2.880767061477721
EB-3,All,6,2325,23,32,302575.0,3961.0,1.0569280343716434,1.3090969181194745,1458.6028500862903,10.177497104143363
EB-3,India,1,3961,1796,2243,493661.0,282443.0,45.951776624039574,57.21395856670873,2604.7077873640606,1162.1248698402094
EB-3,India,2,286,15,16,42351.0,3187.0,6.972680692309509,7.525206016386862,189.33702023193482,9.917408843341677
EB-3,India,3,16,2,2,2303.0,447.0,19.409465914025184,19.409465914025184,11.245532051132544,1.3533069186223712
EB-3,India,4,34,3,3,4079.0,422.0,10.345672959058593,10.345672959058593,19.486710977073756,2.28588298718969
EB-3,India,5,3,0,0,703.0,0.0,0.0,0.0,2.216571508021582,0.0
EB-3,India,6,533,2,2,74376.0,224.0,0.3011724212111434,0.3011724212111434,352.20176352074594,1.9190698385986384
EB-3,China,1,256,125,159,24960.0,14750.0,46.62259615384615,59.094551282051285,185.89205279201389,96.21250125221403
EB-3,China,2,45,11,13,6091.0,1747.0,25.25036939747168,28.68166146773929,31.001405497819473,8.823057240262889
EB-3,China,3,2,0,0,273.0,0.0,0.0,0.0,1.990359193483776,0.0
EB-3,China,4,15,3,4,1785.0,442.0,18.48739495798319,24.761904761904763,10.659515103258851,2.9968627882657275
EB-3,China,6,141,0,0,18180.0,0.0,0.0,0.0,94.70969487142602,0.0
EB-3,ROW,1,3645,1697,2938,405737.0,310112.0,44.49138234866428,76.43177723500692,2330.527175815517,1120.9495704673275
EB-3,ROW,2,372,31,44,47112.0,6574.0,9.606894209543217,13.953982000339616,245.40896737507978,23.698199209160595
EB-3,ROW,3,61,13,18,7347.0,1305.0,12.399618892064789,17.76235198040016,37.12793350616192,11.473615085783806
EB-3,ROW,4,186,29,41,23875.0,5794.0,15.87434554973822,24.26806282722513,118.41151464325978,18.106814841333268
EB-3,ROW,5,14,3,8,1333.0,647.0,16.95423855963991,48.53713428357089,10.269075841024545,2.880767061477721
EB-3,ROW,6,1651,21,30,210019.0,3737.0,1.4160623562630048,1.7793628195544213,1012.3332987228479,9.036816798775567
EB-5,All,1,3327,2049,3542,338569.0,357488.0,61.394870764895785,105.58793037755967,2181.059804463935,1347.5512037703477
EB-5,All,2,244,21,29,28794.0,2460.0,6.372855455997778,8.543446551364868,150.25314245202597,17.83195026240395
EB-5,All,3,53,11,19,8290.0,2224.0,16.079613992762365,26.827503015681543,28.777008240653892,8.472713488048294
EB-5,All,4,154,19,25,17998.0,3415.0,14.379375486165129,18.974330481164575,105.00131410474589,12.402954008429443
EB-5,All,5,6,3,7,519.0,391.0,32.5626204238921,75.33718689788054,5.268468715160287,2.8421733505821476
EB-5,All,6,370,9,9,45663.0,1277.0,2.796574907474323,2.796574907474323,242.16391986688538,5.706338902983116
EB-5,India,1,724,397,560,76471.0,59045.0,55.49816270220084,77.21227654928012,481.58237466045017,261.8059318624225
EB-5,India,2,26,0,0,4020.0,0.0,0.0,0.0,13.23167466606405,0.0
EB-5,India,3,9,2,3,1189.0,240.0,15.979814970563499,20.18502943650126,7.410332482427127,1.6334841628959276
EB-5,India,4,10,0,0,1020.0,0.0,0.0,0.0,7.9176877064276034,0.0
EB-5,India,6,24,0,0,2750.0,0.0,0.0,0.0,15.214216163583252,0.0
EB-5,China,1,183,103,124,16912.0,11464.0,57.44441816461684,67.78618732261117,128.364787258297,81.03194186518719
EB-5,China,2,26,7,7,2989.0,600.0,20.073603211776515,20.073603211776515,18.50737571286819,6.207110590020346
EB-5,China,3,3,1,2,359.0,126.0,17.54874651810585,35.0974930362117,2.58667335674862,1.0
EB-5,China,4,13,6,7,1300.0,661.0,45.46153846153846,50.84615384615385,10.262451572159002,4.908734452954817
EB-5,China,6,11,0,0,1054.0,0.0,0.0,0.0,6.399580625835292,0.0
EB-5,ROW,1,2420,1549,2858,245186.0,286979.0,63.50648079417259,117.04542673725254,1574.3201721533853,1009.4127878503889
EB-5,ROW,2,192,14,22,21785.0,1860.0,5.669038329125545,8.53798485196236,124.43564463651335,11.657800402039241
EB-5,ROW,3,41,8,14,6742.0,1858.0,16.01898546425393,27.558587956096115,21.165697969507693,6.35121154369725
EB-5,ROW,4,131,13,18,15678.0,2754.0,12.737594080877663,17.56601607347876,88.13467770562693,8.505810940222712
