category,nationality,definition,marital_group,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-2,India,own_unmarried,All,7739,2836,3738,970096.0,458289.0,35.931907769952666,47.241613201167716,5098.447962391833,1896.1995597335203
EB-2,India,own_unmarried,Married,6502,2824,3724,800073.0,456960.0,43.4140384689897,57.11478827556986,4337.155691603112,1888.683246046907
EB-2,India,own_unmarried,Unmarried,1237,12,14,170023.0,1329.0,0.7234315357334008,0.7816589520241379,781.423155592161,7.632890700678075
EB-2,China,original,All,1629,330,401,178190.0,38467.0,17.656434143330152,21.58763118020091,1062.1728755506197,255.39541006413154
EB-2,China,original,Married,983,321,391,100460.0,37327.0,30.29464463468047,37.1560820226956,652.5599509103124,247.3893915881635
EB-2,China,original,Unmarried,646,9,10,77730.0,1140.0,1.3225266949697672,1.466615206483983,418.77845074885823,8.019670041131027
EB-2,China,own_unmarried,All,1629,326,395,178190.0,37843.0,17.439811437229924,21.23744317862955,1062.1728755506197,251.9137149454575
EB-2,China,own_unmarried,Married,983,318,386,100460.0,36815.0,30.021899263388413,36.646426438383436,652.5599509103124,244.89852181947805
EB-2,China,own_unmarried,Unmarried,646,8,9,77730.0,1028.0,1.1784381834555513,1.3225266949697672,418.77845074885823,7.037289272834018
EB-2,ROW,original,All,10058,3477,6027,1116002.0,622273.0,32.146537371796825,55.75912946392569,6533.507223014959,2337.1010006149545
EB-2,ROW,original,Married,7228,3399,5914,768571.0,609195.0,45.48610343091269,79.2633341617105,4826.596151416708,2288.591514520713
EB-2,ROW,original,Unmarried,2830,78,113,347431.0,13078.0,2.6373582092559387,3.7642006614262975,1768.8281744813335,50.31263554087814
EB-2,ROW,own_unmarried,All,10058,3472,6013,1116002.0,620954.0,32.11938688281921,55.64093971157758,6533.507223014959,2334.026583588747
EB-2,ROW,own_unmarried,Married,7228,3394,5900,768571.0,607876.0,45.44667961710759,79.09171696564142,4826.596151416708,2285.5063178384826
EB-2,ROW,own_unmarried,Unmarried,2830,78,113,347431.0,13078.0,2.6373582092559387,3.7642006614262975,1768.8281744813335,50.31263554087814
EB-3,All,original,All,11221,3751,5521,1364185.0,631831.0,32.0588483233579,46.31563900790582,7203.215693170502,2423.560133751186
